,failurelocation_original,failurelocation_original_left_0,failurelocation_original_right_0,failurelocation_original_left_1,failurelocation_original_right_1,failurelocation_original_left_2,failurelocation_original_right_2
0,"{'Gas Fill Valve', 'Bladder', 'Air line Check Valve, if present'}","['Air line Check Valve, if present']","['Bladder', 'Gas Fill Valve']",['Gas Fill Valve'],"['Air line Check Valve, if present', 'Bladder']","['Gas Fill Valve', 'Air line Check Valve, if present']",['Bladder']
1,"{'Condenser - Internal Hardware; including: Baffle Plates, Support Plates, Tie Rods, Spacers, Diffusers Plates, and Impingement Plates', 'Condenser - Tube Sheets', 'Condenser - Tube Joint: Rolled or welded', 'Condenser - Closure Devices Channel Partitions, Manways, and Flange', 'Ejector - Steam Nozzle', 'Condenser - Closure Devices Channel Partitions, Manways,  and Flange', 'Condenser - Tube Joint: Rolled', 'Condenser - Shell, Inlet and Outlet Nozzles', 'Ejector - Throat and Diffuser', 'Condenser - Tubes'}","['Condenser - Closure Devices Channel Partitions, Manways, and Flange', 'Condenser - Tube Joint: Rolled', 'Condenser - Tubes', 'Condenser - Tube Joint: Rolled or welded', 'Condenser - Internal Hardware; including: Baffle Plates, Support Plates, Tie Rods, Spacers, Diffusers Plates, and Impingement Plates', 'Condenser - Closure Devices Channel Partitions, Manways,  and Flange', 'Ejector - Throat and Diffuser', 'Ejector - Steam Nozzle']","['Condenser - Shell, Inlet and Outlet Nozzles', 'Condenser - Tube Sheets']","['Condenser - Internal Hardware; including: Baffle Plates, Support Plates, Tie Rods, Spacers, Diffusers Plates, and Impingement Plates', 'Condenser - Tube Joint: Rolled or welded', 'Condenser - Tubes']","['Condenser - Tube Sheets', 'Condenser - Closure Devices Channel Partitions, Manways, and Flange', 'Condenser - Tube Joint: Rolled', 'Condenser - Shell, Inlet and Outlet Nozzles', 'Ejector - Steam Nozzle', 'Condenser - Closure Devices Channel Partitions, Manways,  and Flange', 'Ejector - Throat and Diffuser']","['Condenser - Tubes', 'Condenser - Tube Joint: Rolled or welded', 'Ejector - Steam Nozzle', 'Condenser - Closure Devices Channel Partitions, Manways,  and Flange', 'Condenser - Closure Devices Channel Partitions, Manways, and Flange', 'Ejector - Throat and Diffuser']","['Condenser - Internal Hardware; including: Baffle Plates, Support Plates, Tie Rods, Spacers, Diffusers Plates, and Impingement Plates', 'Condenser - Tube Joint: Rolled', 'Condenser - Tube Sheets', 'Condenser - Shell, Inlet and Outlet Nozzles']"
2,"{'Pressure Transmitter', 'Blower Motor', 'Thermocouple', 'Pressure Gauge', 'Valve - Spring Reliefs', 'Electric Heating Element, if present', 'Piping', 'Blower', 'Blower Intake Filter', 'Level Indicator', 'Level Transmitter', 'Valve - Manual  Block', 'Heater Shell, if present', 'Vaporizer vessel', 'Heater tubes, if present', 'Pressure Sensor', 'Blower Sheaves and Belts, if present'}","['Blower', 'Level Indicator', 'Heater tubes, if present', 'Pressure Transmitter']","['Valve - Spring Reliefs', 'Pressure Gauge', 'Valve - Manual  Block', 'Blower Intake Filter', 'Heater Shell, if present', 'Piping', 'Pressure Sensor', 'Vaporizer vessel', 'Blower Motor', 'Thermocouple', 'Blower Sheaves and Belts, if present', 'Electric Heating Element, if present', 'Level Transmitter']","['Blower Intake Filter', 'Piping', 'Level Indicator', 'Pressure Sensor', 'Electric Heating Element, if present', 'Pressure Transmitter', 'Pressure Gauge', 'Vaporizer vessel', 'Blower Sheaves and Belts, if present', 'Blower', 'Heater tubes, if present', 'Valve - Spring Reliefs', 'Thermocouple', 'Heater Shell, if present', 'Level Transmitter']","['Blower Motor', 'Valve - Manual  Block']","['Electric Heating Element, if present', 'Valve - Manual  Block', 'Pressure Transmitter', 'Level Indicator', 'Level Transmitter', 'Pressure Sensor', 'Thermocouple', 'Heater tubes, if present', 'Piping', 'Vaporizer vessel']","['Heater Shell, if present', 'Blower Sheaves and Belts, if present', 'Pressure Gauge', 'Blower Motor', 'Valve - Spring Reliefs', 'Blower', 'Blower Intake Filter']"
3,"{'PLC and HMI - (Programmable Logic Controller and Human Machine Interface Touch Screen)', 'Pipe Insulation', 'Valve - SOV Operated', 'Pump (Vertical - Multistage)', 'Valve - Ball (Air Operated)', 'Valve - Pressure Control Valve (Diaphragm Manual)', 'Pump Motor (Pump Vertical - Multistage)', 'Valve - Temperature & Flow Control Valves (Air Operated)', 'Separator', 'Pump - Vacuum (Liquid Ring)', 'Instrumentation - Indicator, Transmitter, Sensor Element, & Switch (Level, Pressure, Temperature)', 'Tank', 'Ground or Earth Connection', 'Autoclave (Chamber, Door, Closing Device, Seal or Gasket, Steam Jacket, Insulation)', 'Valve - Ball (Manual)', 'Instrumentation - Gauges or Indicators (Temperature, Pressure)', 'Valve - Manual - Vent, Drain, and Isolation (Diaphragm type)', 'Valve - Pressure Relief', 'Valve - Diaphragm (Air Operated)', 'Flex Hoses, Flex Lines, and Fittings', 'Pipe and Fittings', 'Valve - Piston Operated (Air)', 'Heat Exchanger - Sample Cooler', 'Fasteners and Hardware', 'Pipe - Instrument Penetrations, and Thermowells', 'Strainer', 'Tri-Clamp Isolation Devices', 'Control Panel and Enclosure (Control Module, Disconnect, Main Circuit Breaker, Relays, Terminations, Power Supply, Lights, Switches, Alarms, Wiring, etc.)', 'Heat Exchanger (Plate Type)', 'Flow Restrictor', 'Silencer(s)', 'Valve - Check (Swing Type)', 'Valve - Manual - Vent, Drain, and Isolation (Gate, Globe, Plug)', 'E-Stops and Interlocks', 'Steam Trap (Balanced Pressure Thermostatic Type)'}","['Pump - Vacuum (Liquid Ring)', 'Pipe and Fittings', 'Control Panel and Enclosure (Control Module, Disconnect, Main Circuit Breaker, Relays, Terminations, Power Supply, Lights, Switches, Alarms, Wiring, etc.)']","['Valve - Temperature & Flow Control Valves (Air Operated)', 'Instrumentation - Gauges or Indicators (Temperature, Pressure)', 'Separator', 'Valve - Manual - Vent, Drain, and Isolation (Diaphragm type)', 'Heat Exchanger (Plate Type)', 'Tri-Clamp Isolation Devices', 'Autoclave (Chamber, Door, Closing Device, Seal or Gasket, Steam Jacket, Insulation)', 'Flex Hoses, Flex Lines, and Fittings', 'Pipe - Instrument Penetrations, and Thermowells', 'Silencer(s)', 'Valve - Diaphragm (Air Operated)', 'Fasteners and Hardware', 'Flow Restrictor', 'Heat Exchanger - Sample Cooler', 'Pipe Insulation', 'Valve - Ball (Manual)', 'E-Stops and Interlocks', 'Valve - Pressure Relief', 'Tank', 'Valve - Manual - Vent, Drain, and Isolation (Gate, Globe, Plug)', 'Strainer', 'Ground or Earth Connection', 'Pump (Vertical - Multistage)', 'Valve - SOV Operated', 'Valve - Check (Swing Type)', 'Pump Motor (Pump Vertical - Multistage)', 'Instrumentation - Indicator, Transmitter, Sensor Element, & Switch (Level, Pressure, Temperature)', 'Valve - Ball (Air Operated)', 'Valve - Piston Operated (Air)', 'Steam Trap (Balanced Pressure Thermostatic Type)', 'PLC and HMI - (Programmable Logic Controller and Human Machine Interface Touch Screen)', 'Valve - Pressure Control Valve (Diaphragm Manual)']","['Ground or Earth Connection', 'Tank', 'Valve - Ball (Air Operated)', 'Valve - Temperature & Flow Control Valves (Air Operated)', 'Autoclave (Chamber, Door, Closing Device, Seal or Gasket, Steam Jacket, Insulation)', 'Silencer(s)', 'Valve - Check (Swing Type)', 'Pump - Vacuum (Liquid Ring)', 'Valve - Diaphragm (Air Operated)', 'Valve - Ball (Manual)', 'Separator', 'Heat Exchanger - Sample Cooler', 'Heat Exchanger (Plate Type)', 'Tri-Clamp Isolation Devices', 'Fasteners and Hardware', 'Pipe - Instrument Penetrations, and Thermowells', 'Steam Trap (Balanced Pressure Thermostatic Type)', 'Control Panel and Enclosure (Control Module, Disconnect, Main Circuit Breaker, Relays, Terminations, Power Supply, Lights, Switches, Alarms, Wiring, etc.)', 'Pump Motor (Pump Vertical - Multistage)']","['Instrumentation - Gauges or Indicators (Temperature, Pressure)', 'Valve - Pressure Control Valve (Diaphragm Manual)', 'PLC and HMI - (Programmable Logic Controller and Human Machine Interface Touch Screen)', 'Valve - Pressure Relief', 'E-Stops and Interlocks', 'Flow Restrictor', 'Strainer', 'Pipe and Fittings', 'Flex Hoses, Flex Lines, and Fittings', 'Instrumentation - Indicator, Transmitter, Sensor Element, & Switch (Level, Pressure, Temperature)', 'Valve - Piston Operated (Air)', 'Pump (Vertical - Multistage)', 'Valve - SOV Operated', 'Pipe Insulation', 'Valve - Manual - Vent, Drain, and Isolation (Diaphragm type)', 'Valve - Manual - Vent, Drain, and Isolation (Gate, Globe, Plug)']","['Pump - Vacuum (Liquid Ring)', 'Pipe Insulation', 'Fasteners and Hardware', 'Valve - Diaphragm (Air Operated)', 'Valve - SOV Operated']","['Instrumentation - Gauges or Indicators (Temperature, Pressure)', 'Pump (Vertical - Multistage)', 'Tank', 'Autoclave (Chamber, Door, Closing Device, Seal or Gasket, Steam Jacket, Insulation)', 'Flow Restrictor', 'Control Panel and Enclosure (Control Module, Disconnect, Main Circuit Breaker, Relays, Terminations, Power Supply, Lights, Switches, Alarms, Wiring, etc.)', 'Valve - Ball (Manual)', 'Tri-Clamp Isolation Devices', 'Strainer', 'Valve - Piston Operated (Air)', 'Silencer(s)', 'Valve - Ball (Air Operated)', 'PLC and HMI - (Programmable Logic Controller and Human Machine Interface Touch Screen)', 'Valve - Check (Swing Type)', 'Valve - Temperature & Flow Control Valves (Air Operated)', 'Separator', 'Valve - Manual - Vent, Drain, and Isolation (Diaphragm type)', 'Instrumentation - Indicator, Transmitter, Sensor Element, & Switch (Level, Pressure, Temperature)', 'Pipe - Instrument Penetrations, and Thermowells', 'E-Stops and Interlocks', 'Heat Exchanger - Sample Cooler', 'Valve - Pressure Control Valve (Diaphragm Manual)', 'Valve - Manual - Vent, Drain, and Isolation (Gate, Globe, Plug)', 'Valve - Pressure Relief', 'Pump Motor (Pump Vertical - Multistage)', 'Pipe and Fittings', 'Flex Hoses, Flex Lines, and Fittings', 'Ground or Earth Connection', 'Heat Exchanger (Plate Type)', 'Steam Trap (Balanced Pressure Thermostatic Type)']"
4,"{'Mounting brackets, if present', 'Axle Housing', 'Key, if present', 'Wheel Flange', 'Shaft', 'Fasteners, bolting'}","['Axle Housing', 'Shaft', 'Key, if present', 'Mounting brackets, if present', 'Wheel Flange']","['Fasteners, bolting']","['Key, if present', 'Mounting brackets, if present', 'Fasteners, bolting', 'Wheel Flange', 'Shaft']",['Axle Housing'],"['Mounting brackets, if present']","['Wheel Flange', 'Axle Housing', 'Shaft', 'Key, if present', 'Fasteners, bolting']"
5,"{'Capacitors, Commutation and Other Filled', 'Fuse holder', 'Metering Instruments (e.g. voltmeter, frequency meter, status lights)', 'Printed Circuit Boards (Firing circuit, Oscillator, Alarm, Sync, Metering circuits)', 'Static Switch', 'Input / Output Filter Choke and Commutating Chokes', 'Maintenance Bypass Switch', 'Muffin fans', 'Input Fuse', 'Power Semiconductor Components', 'Capacitors, Electrolytic', 'Transformer'}","['Input Fuse', 'Muffin fans', 'Input / Output Filter Choke and Commutating Chokes', 'Capacitors, Electrolytic', 'Power Semiconductor Components', 'Static Switch']","['Fuse holder', 'Maintenance Bypass Switch', 'Capacitors, Commutation and Other Filled', 'Printed Circuit Boards (Firing circuit, Oscillator, Alarm, Sync, Metering circuits)', 'Transformer', 'Metering Instruments (e.g. voltmeter, frequency meter, status lights)']","['Maintenance Bypass Switch', 'Transformer', 'Static Switch', 'Input Fuse', 'Capacitors, Commutation and Other Filled', 'Power Semiconductor Components', 'Input / Output Filter Choke and Commutating Chokes', 'Capacitors, Electrolytic']","['Printed Circuit Boards (Firing circuit, Oscillator, Alarm, Sync, Metering circuits)', 'Metering Instruments (e.g. voltmeter, frequency meter, status lights)', 'Muffin fans', 'Fuse holder']",['Input / Output Filter Choke and Commutating Chokes'],"['Fuse holder', 'Capacitors, Commutation and Other Filled', 'Printed Circuit Boards (Firing circuit, Oscillator, Alarm, Sync, Metering circuits)', 'Capacitors, Electrolytic', 'Muffin fans', 'Input Fuse', 'Power Semiconductor Components', 'Static Switch', 'Transformer', 'Metering Instruments (e.g. voltmeter, frequency meter, status lights)', 'Maintenance Bypass Switch']"
6,"{'Vent or Flame Arrestor', 'Posts and Straps', 'InterCell and InterTier Connectors and Hardware and Battery Cable Connectors', 'Electrolyte', 'Plates', 'Lid', 'Rack', 'Posts', 'Jar', 'Separators & Retainers', 'Jar and Lid'}","['Rack', 'Jar', 'Jar and Lid']","['Electrolyte', 'Posts and Straps', 'Posts', 'Plates', 'Separators & Retainers', 'Lid', 'InterCell and InterTier Connectors and Hardware and Battery Cable Connectors', 'Vent or Flame Arrestor']",['Lid'],"['Separators & Retainers', 'Electrolyte', 'Rack', 'Posts and Straps', 'InterCell and InterTier Connectors and Hardware and Battery Cable Connectors', 'Plates', 'Vent or Flame Arrestor', 'Jar and Lid', 'Posts', 'Jar']","['Posts and Straps', 'Plates']","['Vent or Flame Arrestor', 'Separators & Retainers', 'Jar', 'InterCell and InterTier Connectors and Hardware and Battery Cable Connectors', 'Lid', 'Jar and Lid', 'Electrolyte', 'Posts', 'Rack']"
7,"{'Vent or Flame Arrestor', 'Electrolyte', 'Plates', 'Rack', 'Inter Cell and Inter Tier Connectors and Hardware and Battery Cable Connectors', 'Posts', 'Jar & Lid'}",['Posts'],"['Jar & Lid', 'Electrolyte', 'Rack', 'Vent or Flame Arrestor', 'Plates', 'Inter Cell and Inter Tier Connectors and Hardware and Battery Cable Connectors']","['Jar & Lid', 'Rack', 'Vent or Flame Arrestor', 'Plates', 'Inter Cell and Inter Tier Connectors and Hardware and Battery Cable Connectors', 'Electrolyte']",['Posts'],"['Inter Cell and Inter Tier Connectors and Hardware and Battery Cable Connectors', 'Rack', 'Jar & Lid', 'Electrolyte']","['Vent or Flame Arrestor', 'Plates', 'Posts']"
8,"{'Vent or Flame Arrestor', 'Posts and Straps', 'InterCell and InterTier Connectors and Hardware and Battery Cable Connectors', 'Electrolyte', 'Plates', 'Lid', 'Rack', 'Posts', 'Jar', 'Separators & Retainers', 'Jar and Lid'}","['Lid', 'Electrolyte', 'Posts', 'InterCell and InterTier Connectors and Hardware and Battery Cable Connectors']","['Rack', 'Separators & Retainers', 'Posts and Straps', 'Vent or Flame Arrestor', 'Jar and Lid', 'Plates', 'Jar']",['Rack'],"['Electrolyte', 'Separators & Retainers', 'Jar', 'InterCell and InterTier Connectors and Hardware and Battery Cable Connectors', 'Posts and Straps', 'Jar and Lid', 'Posts', 'Plates', 'Lid', 'Vent or Flame Arrestor']","['Vent or Flame Arrestor', 'Rack', 'Plates', 'Posts and Straps', 'Lid', 'InterCell and InterTier Connectors and Hardware and Battery Cable Connectors', 'Jar and Lid', 'Electrolyte', 'Separators & Retainers']","['Jar', 'Posts']"
9,"{'Battery - Inter Cell and Inter Tier Connectors & Hardware & Battery Cable Connectors', 'Battery - Case', 'Battery - Pressure Relief Valve', 'Battery - Cabinet or Rack', 'Connections to Battery Charger and Primary Distribution', 'Battery - Plates', 'Battery - Group Bar (Collector)', 'Battery - Posts'}","['Battery - Posts', 'Battery - Plates', 'Battery - Cabinet or Rack', 'Battery - Inter Cell and Inter Tier Connectors & Hardware & Battery Cable Connectors', 'Connections to Battery Charger and Primary Distribution']","['Battery - Pressure Relief Valve', 'Battery - Group Bar (Collector)', 'Battery - Case']","['Battery - Posts', 'Battery - Plates', 'Battery - Inter Cell and Inter Tier Connectors & Hardware & Battery Cable Connectors']","['Battery - Group Bar (Collector)', 'Battery - Cabinet or Rack', 'Connections to Battery Charger and Primary Distribution', 'Battery - Case', 'Battery - Pressure Relief Valve']","['Battery - Inter Cell and Inter Tier Connectors & Hardware & Battery Cable Connectors', 'Battery - Pressure Relief Valve', 'Battery - Cabinet or Rack', 'Battery - Plates', 'Battery - Posts']","['Battery - Case', 'Connections to Battery Charger and Primary Distribution', 'Battery - Group Bar (Collector)']"
