TypeData.CompTypeID,TypeData.GenCompType,long_description,failure_locations,component_short_description,component_boundry_for_short_description
Accumulator_2_V0,Accumulator - Pneumatic - Bladder Type,"The equipment Accumulator - Pneumatic - Bladder Type, is categorized as Fixed Asset and has the following boundary: A Pneumatic Accumulator - Bladder Type in this database is comprised of:  - Tank - Bladder - Air Line Check Valve, if present - Gas Precharge Valve","{'Gas Fill Valve', 'Bladder', 'Air line Check Valve, if present'}",Accumulator - Pneumatic - Bladder Type,"  - tank - bladder - air line check valve, if present - gas precharge valve"
AirEjector_SJ_1,Steam Jet Air Ejector,"The equipment Steam Jet Air Ejector, is categorized as Fixed Asset and has the following boundary: The boundary of a typical steam jet air ejector boundary for the purpose of this database consists of:  -Ejector and internals from the suction to discharge ports -Steam inlet port and nozzle, including steam chest, if present -Ejector steam condensers, if present  All valves are excluded from the boundary.","{'Condenser - Internal Hardware; including: Baffle Plates, Support Plates, Tie Rods, Spacers, Diffusers Plates, and Impingement Plates', 'Condenser - Tube Sheets', 'Condenser - Tube Joint: Rolled or welded', 'Condenser - Closure Devices Channel Partitions, Manways, and Flange', 'Ejector - Steam Nozzle', 'Condenser - Closure Devices Channel Partitions, Manways,  and Flange', 'Condenser - Tube Joint: Rolled', 'Condenser - Shell, Inlet and Outlet Nozzles', 'Ejector - Throat and Diffuser', 'Condenser - Tubes'}",Steam Jet Air Ejector,"  -ejector and internals from the suction to discharge ports -steam inlet port and nozzle, including steam chest, if present -ejector steam condensers, if present  all valves are"
Ammonia_Vapor_1_V0,Ammonia Vaporization System,"The equipment Ammonia Vaporization System, is categorized as Fixed Asset and has the following boundary: The boundary of an Ammonia Vaporization System, for the purpose of this database, includes:  Ammonia vaporizer Ammonia vaporizer heater Piping Valves: relief and block Level indicators and transmitters Pressure sensors and transmitters Thermocouples Dilution air blower and motor (a more detailed treatment of relevant motors may be found elsewhere in the database under ""Motor - Low Voltage""  Excludes:  Ammonia Transfer Pump and motor Flow Control Valve - AOV actuators can be found elsewhere in the database under ""Valve - Air Operated - AOV"" Flange connections Supply system boundaries (electrical, steam, glycol, etc.) Controls Wiring to control system","{'Pressure Transmitter', 'Blower Motor', 'Thermocouple', 'Pressure Gauge', 'Valve - Spring Reliefs', 'Electric Heating Element, if present', 'Piping', 'Blower', 'Blower Intake Filter', 'Level Indicator', 'Level Transmitter', 'Valve - Manual  Block', 'Heater Shell, if present', 'Vaporizer vessel', 'Heater tubes, if present', 'Pressure Sensor', 'Blower Sheaves and Belts, if present'}",Ammonia Vaporization System,  ammonia vaporizer ammonia vaporizer heater piping valves
Autoclave_DoubleDoor_Sliding_V0,Autoclave - Sliding Double Door,"The equipment Autoclave - Sliding Double Door, is categorized as Facility Asset and has the following boundary: An Autoclave with double sliding doors for cleaning and sterilizing pharmaceutical or laboratory equipment is comprised of: - Autoclave (Chamber, Door, Closing Device, Seal or Gasket, Steam Jacket, Insulation) - Control Panel and Enclosure (Control Module, Disconnect, Main Circuit Breaker, Relays, Terminations, Power Supply, Lights, Switches, Alarms, Wiring, etc.) - E-Stops and Interlocks - Fasteners and Hardware - Filter - Compressed Air - Flex Hoses, Flex Lines, and Fittings - Ground or Earth Connection - Heat Exchanger - Sample Cooler - Heat Exchanger (Plate Type) - Instrumentation - Gauges or Indicators (Temperature, Pressure) - Instrumentation - Indicator, Transmitter, Sensor Element, & Switch (Level, - Pressure, Temperature) - Flow Restrictors - Pipe - Instrument Penetrations, and Thermowells - Pipe and Fittings - Pipe Insulation - PLC and HMI - (Programmable Logic Controller and Human Machine Interface Touch Screen) - Pump - Vacuum (Liquid Ring) and Motor - Pump (Vertical - Multistage) and Motor - Separator - Silencer(s) - Steam Trap (Balanced Pressure Thermostatic Type) - Strainer - Tank - Tri-Clamp Isolation Devices - Valve - Automatic Exhaust Relief (Diaphragm) - Valve - Ball (Manual) - Valve - Check (Swing Type) - Valve - Diaphragm (Air Operated) - Valve - Manual - Vent, Drain, and Isolation (Diaphragm type) - Valve - Piston Operated - Valve - SOV Operated - Valve - Temperature & Flow Control Valves (Air Operated)  Excluded from this component treatment are: - Supply: power, instrument  air, process air, cooling water, steam, and chemicals - External drains and connections - Supply Electrical Panel and Breakers (External to skid)","{'PLC and HMI - (Programmable Logic Controller and Human Machine Interface Touch Screen)', 'Pipe Insulation', 'Valve - SOV Operated', 'Pump (Vertical - Multistage)', 'Valve - Ball (Air Operated)', 'Valve - Pressure Control Valve (Diaphragm Manual)', 'Pump Motor (Pump Vertical - Multistage)', 'Valve - Temperature & Flow Control Valves (Air Operated)', 'Separator', 'Pump - Vacuum (Liquid Ring)', 'Instrumentation - Indicator, Transmitter, Sensor Element, & Switch (Level, Pressure, Temperature)', 'Tank', 'Ground or Earth Connection', 'Autoclave (Chamber, Door, Closing Device, Seal or Gasket, Steam Jacket, Insulation)', 'Valve - Ball (Manual)', 'Instrumentation - Gauges or Indicators (Temperature, Pressure)', 'Valve - Manual - Vent, Drain, and Isolation (Diaphragm type)', 'Valve - Pressure Relief', 'Valve - Diaphragm (Air Operated)', 'Flex Hoses, Flex Lines, and Fittings', 'Pipe and Fittings', 'Valve - Piston Operated (Air)', 'Heat Exchanger - Sample Cooler', 'Fasteners and Hardware', 'Pipe - Instrument Penetrations, and Thermowells', 'Strainer', 'Tri-Clamp Isolation Devices', 'Control Panel and Enclosure (Control Module, Disconnect, Main Circuit Breaker, Relays, Terminations, Power Supply, Lights, Switches, Alarms, Wiring, etc.)', 'Heat Exchanger (Plate Type)', 'Flow Restrictor', 'Silencer(s)', 'Valve - Check (Swing Type)', 'Valve - Manual - Vent, Drain, and Isolation (Gate, Globe, Plug)', 'E-Stops and Interlocks', 'Steam Trap (Balanced Pressure Thermostatic Type)'}",Autoclave - Sliding Double Door," - autoclave (chamber, door, closing device, seal or gasket, steam jacket, insulation) - control panel and enclosure (control module, disconnect, main circuit breaker, relays, terminations, power supply, lights, switches, alarms, wiring, etc.) - e-stops and interlocks - fasteners and hardware - filter - compressed air - flex hoses, flex lines, and fittings - ground or earth connection - heat exchanger - sample cooler - heat exchanger (plate type) - instrumentation - gauges or indicators (temperature, pressure) - instrumentation - indicator, transmitter, sensor element, & switch (level, - pressure, temperature) - flow restrictors - pipe - instrument penetrations, and thermowells - pipe and fittings - pipe insulation - plc and hmi - (programmable logic controller and human machine interface touch screen) - pump - vacuum (liquid ring) and motor - pump (vertical - multistage) and motor - separator - silencer(s) - steam trap (balanced pressure thermostatic type) - strainer - tank - tri-clamp isolation devices - valve - automatic exhaust relief (diaphragm) - valve - ball (manual) - valve - check (swing type) - valve - diaphragm (air operated) - valve - manual - vent, drain, and isolation (diaphragm type) - valve - piston operated - valve - sov operated - valve - temperature & flow control valves (air operated)"
Axle_1_V0,Axle_1,"The equipment Axle_1, is categorized as Material Handling Asset and has the following boundary: An Axle in this database comprises: - Axle - Shaft - Mounting Brackets, if present - Coupling Key, if present - Wheel flange - Fasteners  Excluded are: - Bearings or bushings - Brake Disc or Drum, if present - Brake assembly, if present - Drive train components, if present","{'Mounting brackets, if present', 'Axle Housing', 'Key, if present', 'Wheel Flange', 'Shaft', 'Fasteners, bolting'}",Axle_1," - axle - shaft - mounting brackets, if present - coupling key, if present - wheel flange - fasteners"
BATT_INV_1,Battery - Inverter,"The equipment Battery - Inverter, is categorized as Electrical Asset and has the following boundary: The boundary of a typical inverter for the purpose of this database is defined to include the following:  ,Inverter ,Maintenance bypass switch ,Static switch, if installed ,Excluding the distribution panel  Regulated rectifiers, if present, and breakers, are excluded because PM for these can be found by referring to Battery Charger and Motor Control Center.","{'Capacitors, Commutation and Other Filled', 'Fuse holder', 'Metering Instruments (e.g. voltmeter, frequency meter, status lights)', 'Printed Circuit Boards (Firing circuit, Oscillator, Alarm, Sync, Metering circuits)', 'Static Switch', 'Input / Output Filter Choke and Commutating Chokes', 'Maintenance Bypass Switch', 'Muffin fans', 'Input Fuse', 'Power Semiconductor Components', 'Capacitors, Electrolytic', 'Transformer'}",Battery - Inverter,"  ,inverter ,maintenance bypass switch ,static switch, if installed ,excluding the distribution panel  regulated rectifiers, if present, and breakers, are"
BATT_LA_1,Battery - Flooded Lead Acid - Lead Calcium/Antimony,"The equipment Battery - Flooded Lead Acid - Lead Calcium/Antimony, is categorized as Electrical Asset and has the following boundary: The boundary of a typical flooded lead-acid battery for the purpose of this database is defined to include the following:  ,Battery cells ,Inter-tier and Inter-cell connectors ,Battery Rack","{'Vent or Flame Arrestor', 'Posts and Straps', 'InterCell and InterTier Connectors and Hardware and Battery Cable Connectors', 'Electrolyte', 'Plates', 'Lid', 'Rack', 'Posts', 'Jar', 'Separators & Retainers', 'Jar and Lid'}",Battery - Flooded Lead Acid - Lead Calcium/Antimony,"  ,battery cells ,inter-tier and inter-cell connectors ,battery rack"
BATT_NICAD_1,Battery - NICAD,"The equipment Battery - NICAD, is categorized as Electrical Asset and has the following boundary: The boundary of NICAD battery for the purpose of this database is defined to include the following:  ,Battery cells ,Inter-cell and inter-tier connectors ,Battery rack","{'Vent or Flame Arrestor', 'Electrolyte', 'Plates', 'Rack', 'Inter Cell and Inter Tier Connectors and Hardware and Battery Cable Connectors', 'Posts', 'Jar & Lid'}",Battery - NICAD,"  ,battery cells ,inter-cell and inter-tier connectors ,battery rack"
BATT_Plante,Battery - Flooded Lead Acid - Plante,"The equipment Battery - Flooded Lead Acid - Plante, is categorized as Electrical Asset and has the following boundary: The boundary of a typical flooded lead-acid battery for the purpose of this database is defined to include the following:  ,Battery cells ,Inter-tier and Inter-cell connectors ,Battery Rack","{'Vent or Flame Arrestor', 'Posts and Straps', 'InterCell and InterTier Connectors and Hardware and Battery Cable Connectors', 'Electrolyte', 'Plates', 'Lid', 'Rack', 'Posts', 'Jar', 'Separators & Retainers', 'Jar and Lid'}",Battery - Flooded Lead Acid - Plante,"  ,battery cells ,inter-tier and inter-cell connectors ,battery rack"
BATT_VRLA_NonGel_V0,Battery - VRLA - Non-Gel Type,"The equipment Battery - VRLA - Non-Gel Type, is categorized as Electrical Asset and has the following boundary: The Non-Gel Type VRLA Battery is commonly used for distributed standby power systems in, for example, telecommunications applications.  For this application they are designed for floating the majority of the time, with occasional rapid discharges and immediate recharging.  The boundary of a VRLA (Non Gel Type) Battery for the purpose of this database is defined to include the following:  ,Battery cells ,Inter-tier and inter-cell connectors ,Battery rack  Excluded are: . Upstream and downstream distribution cables","{'Battery - Inter Cell and Inter Tier Connectors & Hardware & Battery Cable Connectors', 'Battery - Case', 'Battery - Pressure Relief Valve', 'Battery - Cabinet or Rack', 'Connections to Battery Charger and Primary Distribution', 'Battery - Plates', 'Battery - Group Bar (Collector)', 'Battery - Posts'}",Battery - VRLA - Non-Gel Type,"  ,battery cells ,inter-tier and inter-cell connectors ,battery rack"
