wonum,description,persongroup,crewworkgroup,assetnum,asset description,location,location description,status,worktype,siteid,problemcode,taskid,task description,desc_and_uni_task,label_description
R10508716,"MUD PUMP - Replace HMI, COLOR, 3IN, HORNER, HE-XC1E3",ELECTRICAL,ELT,C1019389,NOV 14-P-220 MUD PUMP,325.MP2,MUD PUMP 2,CLOSE,CM,2318.0,PTF,10.0,"Replace display / HMI, COLOR, 3IN, HORNER, HE-XC1E3","MUD PUMP - Replace HMI, COLOR, 3IN, HORNER, HE-XC1E3. Replace display / HMI, COLOR, 3IN, HORNER, HE-XC1E3",Power or signal failure. Power or signal loss in electrical system
R10514932,CRANE #4 - Emergency control system not working.,ELECTRICAL,ELT,C10911979,"DECK CRANE 4, KBC PORT AFT",361.DCR4,"DECK CRANE 4, KBC PORT AFT",CLOSE,CM,1010.0,FTS,10.0,Fault find issue with Emergency control system not working.,CRANE #4 - Emergency control system not working.. Fault find issue with Emergency control system not working.,Failure to start or function on demand. The equipment does not start or function on demand
R10517595,"Install stub shaft for MW DW encoder""B""",ELECTRICAL,ELT,C1017384,"MOTOR, AC, 1230 HP, 3 PHASE, 600V, 1150 AMPS",312.DW1.122,"MOTOR 2, GEARBOX 1, DRAWWORKS MW AFT",CLOSE,CM,2317.0,PTF,1.0,Pulled encoder stub shaft from stock ICN# 2253647 and staged it in MW DW for when the encoder arrives on board.,"Install stub shaft for MW DW encoder""B"". Pulled encoder stub shaft from stock ICN# 2253647 and staged it in MW DW for when the encoder arrives on board.",Power or signal failure. Power or signal loss in electrical system
R10515048,ORDER PARTS TO REBUILD YELLOW MUX REEL CONTROL PANEL  THROTTLE VALVE,WELL CONTROL,SSE,C10911780,NOV SHAFFER MUX CABLE REEL,332.BCSS1.120,"REEL, YELLOW MUX, BOP CONTROL SYSTEMS SURFACE EQUIPMENT",CLOSE,CM,1010.0,INL,10.0,ORDER PARTS TO REBUILD YELLOW MUX REEL CONTROL PANEL  THROTTLE VALVE,ORDER PARTS TO REBUILD YELLOW MUX REEL CONTROL PANEL  THROTTLE VALVE. ORDER PARTS TO REBUILD YELLOW MUX REEL CONTROL PANEL  THROTTLE VALVE,Internal leak. Accidentally lose or admit contents.  Source of leak is not visible.
R10519989,Replace motor on PDPH slew gearbox for gripper,MECHANICAL,MCH,C1018243,NOV OC1891 PDPH CRANE,361.PDPH1,PIPE DECK PIPE HANDLING CRANE (PDPH),CLOSE,CM,2317.0,FTS,10.0,Replace motor on slew gear box on PDPH gripper. Due to bearing locking up and cracking housing.,Replace motor on PDPH slew gearbox for gripper. Replace motor on slew gear box on PDPH gripper. Due to bearing locking up and cracking housing.,Failure to start or function on demand. The equipment does not start or function on demand
R10515046,Replace PSU in finger board cabinet TDCR,ELECTRICAL,ELT,C1018147,NOV FINGERBOARD,341.FB1,"FINGER BOARD, UPPER",CLOSE,CM,2317.0,PTF,1.0,"Replace PSU unit in finger board cabinet in TDCR and test for proper function,","Replace PSU in finger board cabinet TDCR. Replace PSU unit in finger board cabinet in TDCR and test for proper function,",Power or signal failure. Power or signal loss in electrical system
R10517471,Found hotline splice leaking during riser run on KC736,WELL CONTROL,SSE,C1018015,NOV SHAFFER HOTLINE HOSE REEL,332.BCSS1.130,"REEL, HOTLINE HOSE, BOP CONTROL SYSTEMS SURFACE EQUIPMENT",CLOSE,CM,2317.0,ELK,10.0,Repair leaking splice connection in Hotline,Found hotline splice leaking during riser run on KC736. Repair leaking splice connection in Hotline,External leak. Accidentally lose or admit contents.  Source of leak is visible.
R10517421,"Replace Tail Arm Telescopic Tube Assembly ($15,330)",MECHANICAL,MCH,C1018151,NOV HYDRARACKER IV VERTICAL PIPE HANDLER,341.PRS1,"VERTICAL PIPE HANDLER, MAIN WELL, HYDRARACKER",CLOSE,CM,2317.0,PDE,10.0,"Had top replace the ET's TUBE, TELESCOPIC, HYDRARACKER THREAD TACHO ARRANGEMENT. The is the tube assembly that the tail arm encoder runs through. The two smaller end telescope piece are bent and the teflon ferrules that tubing from over extending one another are missing.","Replace Tail Arm Telescopic Tube Assembly ($15,330). Had top replace the ET's TUBE, TELESCOPIC, HYDRARACKER THREAD TACHO ARRANGEMENT. The is the tube assembly that the tail arm encoder runs through. The two smaller end telescope piece are bent and the teflon ferrules that tubing from over extending one another are missing.",Parameter deviation. A parameter is not controlled as set
R10509549,MCH - BOP CRANE - DRAG CHAIN HOSES REPLACEMENT.,MECHANICAL,MSV,C1023370,NOV BOP GANTRY CRANE,364.BHS1,"CRANE, BOP GANTRY, BOP HANDLING SYSTEM",CLOSE,CM,2326.0,DFM,10.0,"REPLACE HYDRAULIC HOSES.
PRESSURE: POS. 102, 103
RETURN: POS. 201, 202, 203, 204
DRAIN: POS. 301","MCH - BOP CRANE - DRAG CHAIN HOSES REPLACEMENT.. REPLACE HYDRAULIC HOSES.
PRESSURE: POS. 102, 103
RETURN: POS. 201, 202, 203, 204
DRAIN: POS. 301",Deformed. Not having the normal or natural shape or form
R10509234,MCH - REPLACE DAMAGED CHAIN AT AUX HYDRATONG,MECHANICAL,MCH,C1023266,NOV HYDRATONG MPT-200,342.HRN2,"IRON ROUGHNECK 2, AUX WELL, HYDRATONG",CLOSE,CM,2326.0,FTS,10.0,REPLACE DAMAGED CHAINS,MCH - REPLACE DAMAGED CHAIN AT AUX HYDRATONG. REPLACE DAMAGED CHAINS. REPLACE PROPORTIONAL VALVE UP / DOWN FUNCTION.,Failure to start or function on demand. The equipment does not start or function on demand
R10519614,AUX TDX - IBOP AIR SWIVEL,MECHANICAL,MSV,C1020812,NOV TDX 1250 TOP DRIVE - AUX WELL,313.TD2,"TOP DRIVE, AUX WELL",CLOSE,CM,2321.0,INL,10.0,REPAIR AIR SWIVEL -  REPLACE SEALS,AUX TDX - IBOP AIR SWIVEL. REPAIR AIR SWIVEL -  REPLACE SEALS. IDENTIFY IF ANY OTHER PART NEED  REPLACEMENT. PRESSURE TEST PORTS. INSTALL REPAIRED AIR SWIVEL IN AUX TDX - TEST AND CONFIRM IT IS WORKING PROPERLY,Internal leak. Accidentally lose or admit contents.  Source of leak is not visible.
R10514838,Replace liner washer packing on all mud pumps ( cost $595.04),MECHANICAL,MCH,C1017618,NOV 14-P-220 MUD PUMP,325.MP1,MUD PUMP 1,CLOSE,CM,2317.0,ELK,10.0,All mud pump liner washer packings need to be replaced. Due to leaking and being fully adjusted.,Replace liner washer packing on all mud pumps ( cost $595.04). All mud pump liner washer packings need to be replaced. Due to leaking and being fully adjusted.. Replace coupling on liner washer pump #1 and #4,External leak. Accidentally lose or admit contents.  Source of leak is visible.
R10512939,PDPH- WINCH FEEDBACK ISSUES,ELECTRICAL,ELT,C1026388,"LOAD MONITORING SYSTEM, PIPE DECK PIPE HANDLING CRANE (PDPH)",361.PDPH1.310,"LOAD MONITORING SYSTEM, PIPE DECK PIPE HANDLING CRANE (PDPH)",CLOSE,CM,2330.0,PDE,10.0,Alex- CO reported issues with PDPH winch feedback. Winch load reported to jump from 0kg to 20Kkg. Inspect and troubleshoot winch load cell circuit.,PDPH- WINCH FEEDBACK ISSUES. Alex- CO reported issues with PDPH winch feedback. Winch load reported to jump from 0kg to 20Kkg. Inspect and troubleshoot winch load cell circuit.,Parameter deviation. A parameter is not controlled as set
R10517011,Replace Damage Finger  - Row 12 slot 4 Fingerboard level,MECHANICAL,MSV,C1021585,NOV FINGERBOARD,341.FB1,"FINGER BOARD, UPPER",CLOSE,CM,2321.0,DFM,10.0,Replace damage fingerboard latch on row 12 slot 4 - Damage during MMC operation,Replace Damage Finger  - Row 12 slot 4 Fingerboard level. Replace damage fingerboard latch on row 12 slot 4 - Damage during MMC operation,Deformed. Not having the normal or natural shape or form
R10514204,Grease main top drive load pins.,DRILLING,DSL,C10667507,"BLOCK, TRAVELLING, 1000T, HTB1000 7 X 72IN",303.TRB1,"TRAVELLING BLOCK, MAIN WELL",CLOSE,CM,2290.0,PDE,10.0,Grease main top drive load pins,Grease main top drive load pins.. Grease main top drive load pins,Parameter deviation. A parameter is not controlled as set
