TypeData.CompTypeID,TypeData.GenCompType,failure_locations
Accumulator_2_V0,Accumulator - Pneumatic - Bladder Type,"['Gas Fill Valve', 'Bladder', 'Air line Check Valve, if present']"
AirEjector_SJ_1,Steam Jet Air Ejector,"['Ejector - Throat and Diffuser', 'Condenser - Closure Devices Channel Partitions, Manways,  and Flange', 'Ejector - Steam Nozzle', 'Condenser - Shell, Inlet and Outlet Nozzles', 'Condenser - Tube Joint: Rolled or welded', 'Condenser - Tubes', 'Condenser - Internal Hardware; including: Baffle Plates, Support Plates, Tie Rods, Spacers, Diffusers Plates, and Impingement Plates', 'Condenser - Tube Joint: Rolled', 'Condenser - Closure Devices Channel Partitions, Manways, and Flange', 'Condenser - Tube Sheets']"
Ammonia_Vapor_1_V0,Ammonia Vaporization System,"['Level Indicator', 'Pressure Sensor', 'Pressure Transmitter', 'Valve - Spring Reliefs', 'Pressure Gauge', 'Valve - Manual  Block', 'Heater Shell, if present', 'Piping', 'Heater tubes, if present', 'Electric Heating Element, if present', 'Blower Motor', 'Level Transmitter', 'Blower Sheaves and Belts, if present', 'Blower Intake Filter', 'Thermocouple', 'Blower', 'Vaporizer vessel']"
Autoclave_DoubleDoor_Sliding_V0,Autoclave - Sliding Double Door,"['Pump Motor (Pump Vertical - Multistage)', 'Heat Exchanger (Plate Type)', 'Flow Restrictor', 'Heat Exchanger - Sample Cooler', 'Pipe and Fittings', 'Valve - Temperature & Flow Control Valves (Air Operated)', 'Valve - Manual - Vent, Drain, and Isolation (Gate, Globe, Plug)', 'Valve - Manual - Vent, Drain, and Isolation (Diaphragm type)', 'Valve - Ball (Manual)', 'Valve - Ball (Air Operated)', 'Valve - Piston Operated (Air)', 'Valve - Diaphragm (Air Operated)', 'Silencer(s)', 'E-Stops and Interlocks', 'Instrumentation - Indicator, Transmitter, Sensor Element, & Switch (Level, Pressure, Temperature)', 'Strainer', 'Instrumentation - Gauges or Indicators (Temperature, Pressure)', 'Separator', 'Valve - Check (Swing Type)', 'Fasteners and Hardware', 'Control Panel and Enclosure (Control Module, Disconnect, Main Circuit Breaker, Relays, Terminations, Power Supply, Lights, Switches, Alarms, Wiring, etc.)', 'Pipe - Instrument Penetrations, and Thermowells', 'PLC and HMI - (Programmable Logic Controller and Human Machine Interface Touch Screen)', 'Valve - SOV Operated', 'Autoclave (Chamber, Door, Closing Device, Seal or Gasket, Steam Jacket, Insulation)', 'Tank', 'Tri-Clamp Isolation Devices', 'Flex Hoses, Flex Lines, and Fittings', 'Pipe Insulation', 'Pump (Vertical - Multistage)', 'Pump - Vacuum (Liquid Ring)', 'Steam Trap (Balanced Pressure Thermostatic Type)', 'Valve - Pressure Relief', 'Ground or Earth Connection', 'Valve - Pressure Control Valve (Diaphragm Manual)']"
Axle_1_V0,Axle_1,"['Key, if present', 'Wheel Flange', 'Axle Housing', 'Fasteners, bolting', 'Mounting brackets, if present', 'Shaft']"
BATT_INV_1,Battery - Inverter,"['Maintenance Bypass Switch', 'Muffin fans', 'Input / Output Filter Choke and Commutating Chokes', 'Metering Instruments (e.g. voltmeter, frequency meter, status lights)', 'Capacitors, Electrolytic', 'Power Semiconductor Components', 'Input Fuse', 'Fuse holder', 'Printed Circuit Boards (Firing circuit, Oscillator, Alarm, Sync, Metering circuits)', 'Static Switch', 'Capacitors, Commutation and Other Filled', 'Transformer']"
BATT_LA_1,Battery - Flooded Lead Acid - Lead Calcium/Antimony,"['Posts and Straps', 'Vent or Flame Arrestor', 'Separators & Retainers', 'Jar', 'InterCell and InterTier Connectors and Hardware and Battery Cable Connectors', 'Lid', 'Posts', 'Jar and Lid', 'Electrolyte', 'Plates', 'Rack']"
BATT_NICAD_1,Battery - NICAD,"['Jar & Lid', 'Vent or Flame Arrestor', 'Inter Cell and Inter Tier Connectors and Hardware and Battery Cable Connectors', 'Posts', 'Electrolyte', 'Plates', 'Rack']"
BATT_Plante,Battery - Flooded Lead Acid - Plante,"['Posts and Straps', 'Vent or Flame Arrestor', 'Separators & Retainers', 'Jar', 'InterCell and InterTier Connectors and Hardware and Battery Cable Connectors', 'Lid', 'Posts', 'Jar and Lid', 'Electrolyte', 'Plates', 'Rack']"
BATT_VRLA_NonGel_V0,Battery - VRLA - Non-Gel Type,"['Battery - Case', 'Battery - Plates', 'Battery - Pressure Relief Valve', 'Battery - Cabinet or Rack', 'Connections to Battery Charger and Primary Distribution', 'Battery - Group Bar (Collector)', 'Battery - Inter Cell and Inter Tier Connectors & Hardware & Battery Cable Connectors', 'Battery - Posts']"
