,TypeData.CompTypeID,TypeData.GenCompType,long_description,failure_locations,component_short_description,component_boundry_for_short_description,answer,parsed_entities,missing_failure_locations,missing_boundaries
0,Accumulator_2_V0,Accumulator - Pneumatic - Bladder Type,"The equipment Accumulator - Pneumatic - Bladder Type, is categorized as Fixed Asset and has the following boundary: A Pneumatic Accumulator - Bladder Type in this database is comprised of:  - Tank - Bladder - Air Line Check Valve, if present - Gas Precharge Valve","['Gas Fill Valve', 'Bladder', 'Air line Check Valve, if present']",Accumulator - Pneumatic - Bladder Type,"  - tank - bladder - air line check valve, if present - gas precharge valve","Sure, here is a summary of the failure locations for the provided industrial asset:

* Gas Fill Valve
* Air Line Check Valve (if present)
* Bladder

These are the three locations where the Accumulator - Pneumatic - Bladder Type may fail. 

I hope this was helpful. Let me know if you have any other questions. 

Can I help you with anything else? 

I'll be happy to help.","['Accumulator - Pneumatic - Bladder Type', 'Fixed Asset', 'Tank', 'Bladder', 'Air Line Check Valve', 'Gas Precharge Valve']",,
0,Accumulator_2_V0,Accumulator - Pneumatic - Bladder Type,"The equipment Accumulator - Pneumatic - Bladder Type, is categorized as Fixed Asset and has the following boundary: A Pneumatic Accumulator - Bladder Type in this database is comprised of:  - Tank - Bladder - Air Line Check Valve, if present - Gas Precharge Valve","['Bladder', 'Air line Check Valve, if present', 'Gas Fill Valve']",Accumulator - Pneumatic - Bladder Type,"  - tank - bladder - air line check valve, if present - gas precharge valve","Sure, here is a summary of the failure locations for the provided industrial asset:

* Gas Fill Valve
* Air Line Check Valve (if present)
* Bladder

These are the three locations where the Accumulator - Pneumatic - Bladder Type may fail. 

I hope this was helpful. Let me know if you have any other questions. 

Can I help you with anything else? 

I'll be happy to help.","['Accumulator - Pneumatic - Bladder Type', 'Fixed Asset', 'Tank', 'Bladder', 'Air Line Check Valve', 'Gas Precharge Valve']",,
0,Accumulator_2_V0,Accumulator - Pneumatic - Bladder Type,"The equipment Accumulator - Pneumatic - Bladder Type, is categorized as Fixed Asset and has the following boundary: A Pneumatic Accumulator - Bladder Type in this database is comprised of:  - Tank - Bladder - Air Line Check Valve, if present - Gas Precharge Valve","['Gas Fill Valve', 'Air line Check Valve, if present', 'Bladder']",Accumulator - Pneumatic - Bladder Type,"  - tank - bladder - air line check valve, if present - gas precharge valve","Sure, here is a summary of the failure locations for the provided industrial asset:

* Gas Fill Valve
* Air Line Check Valve (if present)
* Bladder

These are the three locations where the Accumulator - Pneumatic - Bladder Type may fail. 

I hope this was helpful. Let me know if you have any other questions. 

Can I help you with anything else? 

I'll be happy to help.","['Accumulator - Pneumatic - Bladder Type', 'Fixed Asset', 'Tank', 'Bladder', 'Air Line Check Valve', 'Gas Precharge Valve']",,
1,AirEjector_SJ_1,Steam Jet Air Ejector,"The equipment Steam Jet Air Ejector, is categorized as Fixed Asset and has the following boundary: The boundary of a typical steam jet air ejector boundary for the purpose of this database consists of:  -Ejector and internals from the suction to discharge ports -Steam inlet port and nozzle, including steam chest, if present -Ejector steam condensers, if present  All valves are excluded from the boundary.","['Condenser - Tube Joint: Rolled', 'Condenser - Shell, Inlet and Outlet Nozzles', 'Condenser - Closure Devices Channel Partitions, Manways,  and Flange', 'Condenser - Closure Devices Channel Partitions, Manways, and Flange', 'Condenser - Tubes', 'Ejector - Steam Nozzle', 'Condenser - Tube Sheets', 'Ejector - Throat and Diffuser', 'Condenser - Internal Hardware; including: Baffle Plates, Support Plates, Tie Rods, Spacers, Diffusers Plates, and Impingement Plates', 'Condenser - Tube Joint: Rolled or welded']",Steam Jet Air Ejector,"  -ejector and internals from the suction to discharge ports -steam inlet port and nozzle, including steam chest, if present -ejector steam condensers, if present  all valves are","Sure! Here is a summary of the failure locations for the Steam Jet Air Ejector:

* Condenser:
	+ Closure Devices Channel Partitions
	+ Manways
	+ Flange
	+ Tube Joint: Rolled or welded
	+ Tubes
	+ Tube Sheets
	+ Shell
* Inlet and Outlet Nozzles
* Ejector:
	+ Throat and Diffuser
	+ Steam Nozzle

I hope this helps! Let me know if you have any questions.","['Steam Jet Air Ejector', 'Fixed Asset', 'Ejector and internals', 'Suction port', 'Discharge port', 'Steam inlet port', 'Steam nozzle', 'Steam chest', 'Steam condensers', 'Valves', 'Ejector and internals from the suction to discharge ports', 'Steam inlet port and nozzle, including steam chest, if present', 'Steam condensers, if present']",,
1,AirEjector_SJ_1,Steam Jet Air Ejector,"The equipment Steam Jet Air Ejector, is categorized as Fixed Asset and has the following boundary: The boundary of a typical steam jet air ejector boundary for the purpose of this database consists of:  -Ejector and internals from the suction to discharge ports -Steam inlet port and nozzle, including steam chest, if present -Ejector steam condensers, if present  All valves are excluded from the boundary.","['Condenser - Closure Devices Channel Partitions, Manways,  and Flange', 'Ejector - Throat and Diffuser', 'Condenser - Shell, Inlet and Outlet Nozzles', 'Condenser - Tube Joint: Rolled', 'Condenser - Closure Devices Channel Partitions, Manways, and Flange', 'Condenser - Tube Sheets', 'Ejector - Steam Nozzle', 'Condenser - Tubes', 'Condenser - Tube Joint: Rolled or welded', 'Condenser - Internal Hardware; including: Baffle Plates, Support Plates, Tie Rods, Spacers, Diffusers Plates, and Impingement Plates']",Steam Jet Air Ejector,"  -ejector and internals from the suction to discharge ports -steam inlet port and nozzle, including steam chest, if present -ejector steam condensers, if present  all valves are","Sure! Here is a summary of the failure locations for the Steam Jet Air Ejector:

* Condenser:
	+ Closure Devices Channel Partitions
	+ Manways
	+ Flange
	+ Tube Joint: Rolled or welded
	+ Tubes
	+ Tube Sheets
	+ Shell
* Inlet and Outlet Nozzles
* Ejector:
	+ Throat and Diffuser
	+ Steam Nozzle

I hope this helps! Let me know if you have any questions.","['Steam Jet Air Ejector', 'Fixed Asset', 'Ejector and internals', 'Suction port', 'Discharge port', 'Steam inlet port', 'Steam nozzle', 'Steam chest', 'Steam condensers', 'Valves', 'Ejector and internals from the suction to discharge ports', 'Steam inlet port and nozzle, including steam chest, if present', 'Steam condensers, if present']",,
1,AirEjector_SJ_1,Steam Jet Air Ejector,"The equipment Steam Jet Air Ejector, is categorized as Fixed Asset and has the following boundary: The boundary of a typical steam jet air ejector boundary for the purpose of this database consists of:  -Ejector and internals from the suction to discharge ports -Steam inlet port and nozzle, including steam chest, if present -Ejector steam condensers, if present  All valves are excluded from the boundary.","['Condenser - Tube Sheets', 'Condenser - Shell, Inlet and Outlet Nozzles', 'Ejector - Throat and Diffuser', 'Condenser - Tube Joint: Rolled or welded', 'Condenser - Closure Devices Channel Partitions, Manways,  and Flange', 'Condenser - Internal Hardware; including: Baffle Plates, Support Plates, Tie Rods, Spacers, Diffusers Plates, and Impingement Plates', 'Condenser - Closure Devices Channel Partitions, Manways, and Flange', 'Ejector - Steam Nozzle', 'Condenser - Tubes', 'Condenser - Tube Joint: Rolled']",Steam Jet Air Ejector,"  -ejector and internals from the suction to discharge ports -steam inlet port and nozzle, including steam chest, if present -ejector steam condensers, if present  all valves are","Sure! Here is a summary of the failure locations for the Steam Jet Air Ejector:

* Condenser:
	+ Closure Devices Channel Partitions
	+ Manways
	+ Flange
	+ Tube Joint: Rolled or welded
	+ Tubes
	+ Tube Sheets
	+ Shell
* Inlet and Outlet Nozzles
* Ejector:
	+ Throat and Diffuser
	+ Steam Nozzle

I hope this helps! Let me know if you have any questions.","['Steam Jet Air Ejector', 'Fixed Asset', 'Ejector and internals', 'Suction port', 'Discharge port', 'Steam inlet port', 'Steam nozzle', 'Steam chest', 'Steam condensers', 'Valves', 'Ejector and internals from the suction to discharge ports', 'Steam inlet port and nozzle, including steam chest, if present', 'Steam condensers, if present']",,
2,Ammonia_Vapor_1_V0,Ammonia Vaporization System,"The equipment Ammonia Vaporization System, is categorized as Fixed Asset and has the following boundary: The boundary of an Ammonia Vaporization System, for the purpose of this database, includes:  Ammonia vaporizer Ammonia vaporizer heater Piping Valves: relief and block Level indicators and transmitters Pressure sensors and transmitters Thermocouples Dilution air blower and motor (a more detailed treatment of relevant motors may be found elsewhere in the database under ""Motor - Low Voltage""  Excludes:  Ammonia Transfer Pump and motor Flow Control Valve - AOV actuators can be found elsewhere in the database under ""Valve - Air Operated - AOV"" Flange connections Supply system boundaries (electrical, steam, glycol, etc.) Controls Wiring to control system","['Level Indicator', 'Pressure Transmitter', 'Blower', 'Piping', 'Thermocouple', 'Valve - Spring Reliefs', 'Valve - Manual  Block', 'Vaporizer vessel', 'Blower Motor', 'Heater Shell, if present', 'Blower Intake Filter', 'Heater tubes, if present', 'Electric Heating Element, if present', 'Pressure Sensor', 'Pressure Gauge', 'Blower Sheaves and Belts, if present', 'Level Transmitter']",Ammonia Vaporization System,  ammonia vaporizer ammonia vaporizer heater piping valves,"Sure! Here is a summary of the failure locations for the Ammonia Vaporization System:

* Blower Intake Filter
* Pressure Gauge
* Level Indicator
* Vaporizer Vessel
* Electric Heating Element (if present)
* Blower Motor
* Piping
* Pressure Transmitter
* Heater Shell (if present)
* Blower Sheaves and Belts (if present)
* Heater Tubes (if present)
* Level Transmitter
* Pressure Sensor
* Valve - Spring Reliefs
* Thermocouple
* Blower
* Valve - Manual Block

I hope this helps! Let me know if you have any questions.",[],,
2,Ammonia_Vapor_1_V0,Ammonia Vaporization System,"The equipment Ammonia Vaporization System, is categorized as Fixed Asset and has the following boundary: The boundary of an Ammonia Vaporization System, for the purpose of this database, includes:  Ammonia vaporizer Ammonia vaporizer heater Piping Valves: relief and block Level indicators and transmitters Pressure sensors and transmitters Thermocouples Dilution air blower and motor (a more detailed treatment of relevant motors may be found elsewhere in the database under ""Motor - Low Voltage""  Excludes:  Ammonia Transfer Pump and motor Flow Control Valve - AOV actuators can be found elsewhere in the database under ""Valve - Air Operated - AOV"" Flange connections Supply system boundaries (electrical, steam, glycol, etc.) Controls Wiring to control system","['Blower Sheaves and Belts, if present', 'Valve - Manual  Block', 'Vaporizer vessel', 'Valve - Spring Reliefs', 'Piping', 'Pressure Sensor', 'Thermocouple', 'Pressure Gauge', 'Level Indicator', 'Electric Heating Element, if present', 'Heater Shell, if present', 'Heater tubes, if present', 'Blower Motor', 'Pressure Transmitter', 'Level Transmitter', 'Blower', 'Blower Intake Filter']",Ammonia Vaporization System,  ammonia vaporizer ammonia vaporizer heater piping valves,"Sure! Here is a summary of the failure locations for the Ammonia Vaporization System:

* Blower Intake Filter
* Pressure Gauge
* Level Indicator
* Vaporizer Vessel
* Electric Heating Element (if present)
* Blower Motor
* Piping
* Pressure Transmitter
* Heater Shell (if present)
* Blower Sheaves and Belts (if present)
* Heater Tubes (if present)
* Level Transmitter
* Pressure Sensor
* Valve - Spring Reliefs
* Thermocouple
* Blower
* Valve - Manual Block

I hope this helps! Let me know if you have any questions.",[],,
2,Ammonia_Vapor_1_V0,Ammonia Vaporization System,"The equipment Ammonia Vaporization System, is categorized as Fixed Asset and has the following boundary: The boundary of an Ammonia Vaporization System, for the purpose of this database, includes:  Ammonia vaporizer Ammonia vaporizer heater Piping Valves: relief and block Level indicators and transmitters Pressure sensors and transmitters Thermocouples Dilution air blower and motor (a more detailed treatment of relevant motors may be found elsewhere in the database under ""Motor - Low Voltage""  Excludes:  Ammonia Transfer Pump and motor Flow Control Valve - AOV actuators can be found elsewhere in the database under ""Valve - Air Operated - AOV"" Flange connections Supply system boundaries (electrical, steam, glycol, etc.) Controls Wiring to control system","['Blower Intake Filter', 'Thermocouple', 'Heater Shell, if present', 'Pressure Gauge', 'Blower Motor', 'Blower Sheaves and Belts, if present', 'Vaporizer vessel', 'Heater tubes, if present', 'Piping', 'Electric Heating Element, if present', 'Blower', 'Valve - Manual  Block', 'Valve - Spring Reliefs', 'Level Indicator', 'Level Transmitter', 'Pressure Transmitter', 'Pressure Sensor']",Ammonia Vaporization System,  ammonia vaporizer ammonia vaporizer heater piping valves,"Sure! Here is a summary of the failure locations for the Ammonia Vaporization System:

* Blower Intake Filter
* Pressure Gauge
* Level Indicator
* Vaporizer Vessel
* Electric Heating Element (if present)
* Blower Motor
* Piping
* Pressure Transmitter
* Heater Shell (if present)
* Blower Sheaves and Belts (if present)
* Heater Tubes (if present)
* Level Transmitter
* Pressure Sensor
* Valve - Spring Reliefs
* Thermocouple
* Blower
* Valve - Manual Block

I hope this helps! Let me know if you have any questions.",[],,
3,Autoclave_DoubleDoor_Sliding_V0,Autoclave - Sliding Double Door,"The equipment Autoclave - Sliding Double Door, is categorized as Facility Asset and has the following boundary: An Autoclave with double sliding doors for cleaning and sterilizing pharmaceutical or laboratory equipment is comprised of: - Autoclave (Chamber, Door, Closing Device, Seal or Gasket, Steam Jacket, Insulation) - Control Panel and Enclosure (Control Module, Disconnect, Main Circuit Breaker, Relays, Terminations, Power Supply, Lights, Switches, Alarms, Wiring, etc.) - E-Stops and Interlocks - Fasteners and Hardware - Filter - Compressed Air - Flex Hoses, Flex Lines, and Fittings - Ground or Earth Connection - Heat Exchanger - Sample Cooler - Heat Exchanger (Plate Type) - Instrumentation - Gauges or Indicators (Temperature, Pressure) - Instrumentation - Indicator, Transmitter, Sensor Element, & Switch (Level, - Pressure, Temperature) - Flow Restrictors - Pipe - Instrument Penetrations, and Thermowells - Pipe and Fittings - Pipe Insulation - PLC and HMI - (Programmable Logic Controller and Human Machine Interface Touch Screen) - Pump - Vacuum (Liquid Ring) and Motor - Pump (Vertical - Multistage) and Motor - Separator - Silencer(s) - Steam Trap (Balanced Pressure Thermostatic Type) - Strainer - Tank - Tri-Clamp Isolation Devices - Valve - Automatic Exhaust Relief (Diaphragm) - Valve - Ball (Manual) - Valve - Check (Swing Type) - Valve - Diaphragm (Air Operated) - Valve - Manual - Vent, Drain, and Isolation (Diaphragm type) - Valve - Piston Operated - Valve - SOV Operated - Valve - Temperature & Flow Control Valves (Air Operated)  Excluded from this component treatment are: - Supply: power, instrument  air, process air, cooling water, steam, and chemicals - External drains and connections - Supply Electrical Panel and Breakers (External to skid)","['Pump (Vertical - Multistage)', 'Heat Exchanger - Sample Cooler', 'Pump Motor (Pump Vertical - Multistage)', 'E-Stops and Interlocks', 'Valve - Piston Operated (Air)', 'Instrumentation - Gauges or Indicators (Temperature, Pressure)', 'Fasteners and Hardware', 'Valve - Ball (Manual)', 'Pipe Insulation', 'PLC and HMI - (Programmable Logic Controller and Human Machine Interface Touch Screen)', 'Silencer(s)', 'Ground or Earth Connection', 'Tank', 'Control Panel and Enclosure (Control Module, Disconnect, Main Circuit Breaker, Relays, Terminations, Power Supply, Lights, Switches, Alarms, Wiring, etc.)', 'Valve - Check (Swing Type)', 'Pipe and Fittings', 'Flow Restrictor', 'Valve - Temperature & Flow Control Valves (Air Operated)', 'Valve - Pressure Relief', 'Flex Hoses, Flex Lines, and Fittings', 'Pipe - Instrument Penetrations, and Thermowells', 'Autoclave (Chamber, Door, Closing Device, Seal or Gasket, Steam Jacket, Insulation)', 'Separator', 'Strainer', 'Pump - Vacuum (Liquid Ring)', 'Tri-Clamp Isolation Devices', 'Steam Trap (Balanced Pressure Thermostatic Type)', 'Valve - Pressure Control Valve (Diaphragm Manual)', 'Valve - SOV Operated', 'Valve - Manual - Vent, Drain, and Isolation (Diaphragm type)', 'Heat Exchanger (Plate Type)', 'Valve - Ball (Air Operated)', 'Valve - Diaphragm (Air Operated)', 'Valve - Manual - Vent, Drain, and Isolation (Gate, Globe, Plug)', 'Instrumentation - Indicator, Transmitter, Sensor Element, & Switch (Level, Pressure, Temperature)']",Autoclave - Sliding Double Door," - autoclave (chamber, door, closing device, seal or gasket, steam jacket, insulation) - control panel and enclosure (control module, disconnect, main circuit breaker, relays, terminations, power supply, lights, switches, alarms, wiring, etc.) - e-stops and interlocks - fasteners and hardware - filter - compressed air - flex hoses, flex lines, and fittings - ground or earth connection - heat exchanger - sample cooler - heat exchanger (plate type) - instrumentation - gauges or indicators (temperature, pressure) - instrumentation - indicator, transmitter, sensor element, & switch (level, - pressure, temperature) - flow restrictors - pipe - instrument penetrations, and thermowells - pipe and fittings - pipe insulation - plc and hmi - (programmable logic controller and human machine interface touch screen) - pump - vacuum (liquid ring) and motor - pump (vertical - multistage) and motor - separator - silencer(s) - steam trap (balanced pressure thermostatic type) - strainer - tank - tri-clamp isolation devices - valve - automatic exhaust relief (diaphragm) - valve - ball (manual) - valve - check (swing type) - valve - diaphragm (air operated) - valve - manual - vent, drain, and isolation (diaphragm type) - valve - piston operated - valve - sov operated - valve - temperature & flow control valves (air operated)","Instrumentation
Valve
Pump
Flex Hoses, Flex Lines, and Fittings
Pipe
Control Panel and Enclosure
Valve
Tank
Valve
Pipe Insulation
Valve
PLC and HMI
Tri-Clamp Isolation Devices
Flow Restrictor
Valve
Fasteners and Hardware
Pipe and Fittings
Strainer
Autoclave
Heat Exchanger - Sample Cooler
Pump Motor
Separator
Ground or Earth Connection
Valve
Pump
E-Stops and Interlocks
Valve
Steam Trap
Heat Exchanger
Instrumentation
Silencer
Valve

Please note that the summary only includes locations that can fail. If you need a summary of all components, including those not listed as failure locations, I can provide that as well.","['Autoclave - Sliding Double Door', 'Autoclave', 'Chamber, Door, Closing Device, Seal or Gasket, Steam Jacket, Insulation', 'Control Panel and Enclosure', 'Control Module, Disconnect, Main Circuit Breaker, Relays, Terminations, Power Supply, Lights, Switches, Alarms, Wiring, etc.', 'E-Stops and Interlocks', 'Fasteners and Hardware', 'Filter', 'Compressed Air', 'Flex Hoses, Flex Lines, and Fittings', 'Ground or Earth Connection', 'Heat Exchanger', 'Sample Cooler, Heat Exchanger (Plate Type)', 'Instrumentation', 'Gauges or Indicators (Temperature, Pressure), Indicator, Transmitter, Sensor Element, & Switch (Level, Pressure, Temperature), Flow Restrictors', 'Pipe', 'Pipe and Fittings, Pipe Insulation, Instrument Penetrations, and Thermowells', 'PLC and HMI (Programmable Logic Controller and Human Machine Interface Touch Screen)', 'Pump', 'Vacuum (Liquid Ring) and Motor, Pump (Vertical Multistage) and Motor', 'Separator', 'Silencer(s)', 'Steam Trap (Balanced Pressure Thermostatic Type)', 'Strainer', 'Tank', 'Tri-Clamp Isolation Devices', 'Valve', 'Automatic Exhaust Relief (Diaphragm), Ball (Manual), Check (Swing Type), Diaphragm (Air Operated), Manual, Vent, Drain, and Isolation (Diaphragm type), Piston Operated, SOV Operated, Temperature & Flow Control Valves (Air Operated)', 'Supply', 'External drains and connections', 'Supply Electrical Panel and Breakers (External to skid)']",,
