TypeData.CompTypeID,TypeData.GenCompType,failure_locations
Accumulator_1_V0,Accumulator - Hydraulic - Bladder Type,"['Bladder', 'Gas Fill Valve', 'Oil Valve']"
Accumulator_2_V0,Accumulator - Pneumatic - Bladder Type,"['Bladder', 'Gas Fill Valve', 'Air line Check Valve, if present']"
ACPack_1_V0,Packaged Air Conditioning Unit,"['Solenoid Valves, if present', 'Compressor', 'Electric Heating Coils', 'Damper Actuator, if present', 'Fan - Motor', 'Air Filter', 'Compressor - Motor', 'Wiring and connections', 'Controllers, Sensors, and Transmitters', 'Condenser Coil', 'Fan', 'Damper Bearings and Linkages, if present', 'Fan Bearings', 'Compressor - Tubing, Fittings', 'Switches']"
AirEjector_SJ_1,Steam Jet Air Ejector,"['Condenser - Internal Hardware; including: Baffle Plates, Support Plates, Tie Rods, Spacers, Diffusers Plates, and Impingement Plates', 'Condenser - Tube Joint: Rolled or welded', 'Condenser - Tubes', 'Ejector - Throat and Diffuser', 'Condenser - Shell, Inlet and Outlet Nozzles', 'Condenser - Closure Devices Channel Partitions, Manways, and Flange', 'Condenser - Tube Joint: Rolled', 'Condenser - Tube Sheets', 'Condenser - Closure Devices Channel Partitions, Manways,  and Flange', 'Ejector - Steam Nozzle']"
Ammonia_Vapor_1_V0,Ammonia Vaporization System,"['Blower', 'Thermocouple', 'Piping', 'Valve - Manual  Block', 'Blower Intake Filter', 'Pressure Gauge', 'Blower Motor', 'Heater Shell, if present', 'Heater tubes, if present', 'Vaporizer vessel', 'Valve - Spring Reliefs', 'Electric Heating Element, if present', 'Pressure Transmitter', 'Pressure Sensor', 'Blower Sheaves and Belts, if present', 'Level Transmitter', 'Level Indicator']"
Autoclave_DoubleDoor_Sliding_V0,Autoclave - Sliding Double Door,"['Valve - Manual - Vent, Drain, and Isolation (Gate, Globe, Plug)', 'Heat Exchanger (Plate Type)', 'E-Stops and Interlocks', 'Valve - Diaphragm (Air Operated)', 'Heat Exchanger - Sample Cooler', 'Valve - Piston Operated (Air)', 'Control Panel and Enclosure (Control Module, Disconnect, Main Circuit Breaker, Relays, Terminations, Power Supply, Lights, Switches, Alarms, Wiring, etc.)', 'Instrumentation - Indicator, Transmitter, Sensor Element, & Switch (Level, Pressure, Temperature)', 'Valve - Ball (Air Operated)', 'Separator', 'Pump (Vertical - Multistage)', 'Strainer', 'Ground or Earth Connection', 'Fasteners and Hardware', 'Valve - Pressure Control Valve (Diaphragm Manual)', 'Autoclave (Chamber, Door, Closing Device, Seal or Gasket, Steam Jacket, Insulation)', 'Pump - Vacuum (Liquid Ring)', 'Pipe - Instrument Penetrations, and Thermowells', 'Valve - SOV Operated', 'Valve - Temperature & Flow Control Valves (Air Operated)', 'Tank', 'Instrumentation - Gauges or Indicators (Temperature, Pressure)', 'Pump Motor (Pump Vertical - Multistage)', 'Valve - Check (Swing Type)', 'Valve - Ball (Manual)', 'Steam Trap (Balanced Pressure Thermostatic Type)', 'Valve - Pressure Relief', 'Tri-Clamp Isolation Devices', 'Pipe Insulation', 'Pipe and Fittings', 'Flex Hoses, Flex Lines, and Fittings', 'PLC and HMI - (Programmable Logic Controller and Human Machine Interface Touch Screen)', 'Flow Restrictor', 'Silencer(s)', 'Valve - Manual - Vent, Drain, and Isolation (Diaphragm type)']"
Axle_1_V0,Axle_1,"['Mounting brackets, if present', 'Wheel Flange', 'Shaft', 'Key, if present', 'Axle Housing', 'Fasteners, bolting']"
BATT_CHGR_1,Battery - Charger,"['Capacitors, Oil Filled', 'Muffin fans', 'Power Semiconductor Components', 'Input Fuse', 'Float and Equalize Potentiometers and Switches', 'Transformer', 'Capacitors, Electrolytic', 'Timer', 'Fuse holder', 'Metering Instruments (e.g. voltmeter, ammeter, status lights, ground detectors)', 'Filter Choke', 'Printed Circuit Boards (Firing circuit, Alarm, Auxiliary circuits, Current limit)']"
BATT_INV_1,Battery - Inverter,"['Metering Instruments (e.g. voltmeter, frequency meter, status lights)', 'Muffin fans', 'Power Semiconductor Components', 'Input Fuse', 'Static Switch', 'Transformer', 'Capacitors, Electrolytic', 'Input / Output Filter Choke and Commutating Chokes', 'Fuse holder', 'Capacitors, Commutation and Other Filled', 'Maintenance Bypass Switch', 'Printed Circuit Boards (Firing circuit, Oscillator, Alarm, Sync, Metering circuits)']"
BATT_LA_1,Battery - Flooded Lead Acid - Lead Calcium/Antimony,"['Posts and Straps', 'Rack', 'Posts', 'Jar and Lid', 'Separators & Retainers', 'Lid', 'Vent or Flame Arrestor', 'Jar', 'Electrolyte', 'InterCell and InterTier Connectors and Hardware and Battery Cable Connectors', 'Plates']"
