,TypeData.CompTypeID,short_descriptions,gold_failure_locations,index,dfsp_Mistral_sup_simcse_test
0,Accumulator_1_V0,Accumulator - Hydraulic - Bladder Type,"['Bladder', 'Oil Valve', 'Gas Fill Valve']",0,"['Gas Fill Valve', 'Bladder', 'Air line Check Valve, if present']"
1,ACPack_1_V0,Packaged Air Conditioning Unit,"['Damper Actuator, if present', 'Compressor', 'Electric Heating Coils', 'Solenoid Valves, if present', 'Controllers, Sensors, and Transmitters', 'Compressor - Tubing, Fittings', 'Fan - Motor', 'Wiring and connections', 'Damper Bearings and Linkages, if present', 'Air Filter', 'Switches', 'Condenser Coil', 'Compressor - Motor', 'Fan Bearings', 'Fan']",1,"['Ejector - Throat and Diffuser', 'Condenser - Closure Devices Channel Partitions, Manways,  and Flange', 'Ejector - Steam Nozzle', 'Condenser - Shell, Inlet and Outlet Nozzles', 'Condenser - Tube Joint: Rolled or welded', 'Condenser - Tubes', 'Condenser - Internal Hardware; including: Baffle Plates, Support Plates, Tie Rods, Spacers, Diffusers Plates, and Impingement Plates', 'Condenser - Tube Joint: Rolled', 'Condenser - Closure Devices Channel Partitions, Manways, and Flange', 'Condenser - Tube Sheets']"
2,BATT_VRLA,Battery - Valve Regulated Lead Acid,"['Posts and Straps', 'Cabinet or Rack', 'Pressure Relief Valve', 'Plates', 'Posts', 'Electrolyte', 'Jar & Lid', 'Inter Cell and Inter Tier Connectors & Hardware & Battery Cable Connectors']",2,"['Level Indicator', 'Pressure Sensor', 'Pressure Transmitter', 'Valve - Spring Reliefs', 'Pressure Gauge', 'Valve - Manual  Block', 'Heater Shell, if present', 'Piping', 'Heater tubes, if present', 'Electric Heating Element, if present', 'Blower Motor', 'Level Transmitter', 'Blower Sheaves and Belts, if present', 'Blower Intake Filter', 'Thermocouple', 'Blower', 'Vaporizer vessel']"
3,Bearing_Rolling_Grease_V0,Bearing - Rolling Element - Grease,"['Bearing Seals', 'Grease', 'Grease Fittings (e.g. Zirc type)', 'Bearing housings', 'Bearings - Rolling Element']",3,"['Pump Motor (Pump Vertical - Multistage)', 'Heat Exchanger (Plate Type)', 'Flow Restrictor', 'Heat Exchanger - Sample Cooler', 'Pipe and Fittings', 'Valve - Temperature & Flow Control Valves (Air Operated)', 'Valve - Manual - Vent, Drain, and Isolation (Gate, Globe, Plug)', 'Valve - Manual - Vent, Drain, and Isolation (Diaphragm type)', 'Valve - Ball (Manual)', 'Valve - Ball (Air Operated)', 'Valve - Piston Operated (Air)', 'Valve - Diaphragm (Air Operated)', 'Silencer(s)', 'E-Stops and Interlocks', 'Instrumentation - Indicator, Transmitter, Sensor Element, & Switch (Level, Pressure, Temperature)', 'Strainer', 'Instrumentation - Gauges or Indicators (Temperature, Pressure)', 'Separator', 'Valve - Check (Swing Type)', 'Fasteners and Hardware', 'Control Panel and Enclosure (Control Module, Disconnect, Main Circuit Breaker, Relays, Terminations, Power Supply, Lights, Switches, Alarms, Wiring, etc.)', 'Pipe - Instrument Penetrations, and Thermowells', 'PLC and HMI - (Programmable Logic Controller and Human Machine Interface Touch Screen)', 'Valve - SOV Operated', 'Autoclave (Chamber, Door, Closing Device, Seal or Gasket, Steam Jacket, Insulation)', 'Tank', 'Tri-Clamp Isolation Devices', 'Flex Hoses, Flex Lines, and Fittings', 'Pipe Insulation', 'Pump (Vertical - Multistage)', 'Pump - Vacuum (Liquid Ring)', 'Steam Trap (Balanced Pressure Thermostatic Type)', 'Valve - Pressure Relief', 'Ground or Earth Connection', 'Valve - Pressure Control Valve (Diaphragm Manual)']"
4,BULK_BargeUnloader_LadderwMovableBoom_V0,Barge Unloader Ladder Type with Movable Boom,"['Boom Hoist', 'Breasting System', 'Fire suppression', 'Gathering Conveyor', 'Barge Haul System', 'Trolley', 'Fire Suppression', 'Boom']",4,"['Key, if present', 'Wheel Flange', 'Axle Housing', 'Fasteners, bolting', 'Mounting brackets, if present', 'Shaft']"
5,Bulk_CNVR_PolyRollers_and_Frame_V0,Material Handling - Conveyor - Polyurethane Rollers and Frame,"['Bearing Seals', 'Idler Rollers (Polyurethane)', 'Grease', 'Support Frame and Structure', 'Grease Fittings and Supply Tubing', 'Bearings - Rolling Element']",5,"['Maintenance Bypass Switch', 'Muffin fans', 'Input / Output Filter Choke and Commutating Chokes', 'Metering Instruments (e.g. voltmeter, frequency meter, status lights)', 'Capacitors, Electrolytic', 'Power Semiconductor Components', 'Input Fuse', 'Fuse holder', 'Printed Circuit Boards (Firing circuit, Oscillator, Alarm, Sync, Metering circuits)', 'Static Switch', 'Capacitors, Commutation and Other Filled', 'Transformer']"
6,Bulk_Feeder_Screw_InDirectDrive_V0,Feeder - Screw Auger - In-Direct Drive,"['Auger Agitator, if present', 'Lubrication - Grease Fittings (e.g. Zirc type, feed tubes), if present', 'Auger Shaft Pillow Block Bearing, if present', 'Foundation', 'Drive Chain or Belt Tensioner', 'Drive Mounting Bracket', 'Auger Shaft Coupling', 'Drive Chain or Belt', 'Drive Sprockets or Sheaves', 'Lubrication - Gearbox Oil or Gearlube, if present', 'Drive Gearbox', 'Auger', 'Drive Chain or Belt Guard', 'Drive Motor Leads and Electrical Connections', 'Intake or Discharge Hopper or Housing', 'Feeder Tube or Tray Gaskets or Seals', 'Auger Shaft Seal or Packing', 'Hardware & Fasteners (general)', 'Feeder Guards', 'Lubrication - Grease (Motor, Pillow Block,  and some Gearboxes)', 'Drive Motor', 'Drive Chain']",6,"['Posts and Straps', 'Vent or Flame Arrestor', 'Separators & Retainers', 'Jar', 'InterCell and InterTier Connectors and Hardware and Battery Cable Connectors', 'Lid', 'Posts', 'Jar and Lid', 'Electrolyte', 'Plates', 'Rack']"
7,Bulk_Pulverizer_2,Pulverizer - Coal - Roll Wheel Type,"['Pyrite Plow', 'Dynamic Classifier Electric Motor', 'Intermediate Housing', 'Lube Oil Skid - Heater', 'Tempering Air Damper Seal Ring', 'Mill Motor', 'Roll Assembly', 'Classifier Blades', 'Spring Load System - Tension members', 'Feeder', 'Yoke (Grinding Table)', 'Pyrite Plow - Large Bottom Bowl', 'Lube Oil Skid - Oil Pump', 'Primary Air Fan Motor', 'Roll Wheels/Tires', 'Valves - Outlet Knife Gate or Swing types', 'Classifier Cone', 'Gearbox', 'Primary Air Fan - Bearings', 'Spring Load System - Springs', 'Primary Air Fan - Housing', 'Pipes - Coal Outlet', 'Spring Load System - Hydraulic cylinder', 'Pyrite Box', 'Lube Oil Skid - Filter', 'Discharge Turret Plates', 'Lube Oil Skid - Cooler', 'Segmented Grinding Ring', 'Top Housing', 'Pyrite Plow - Small Bottom Bowl', 'Rotating Throat Assembly', 'Tempering Air Damper', 'Feeder Controls', 'Primary Air Fan - Blades', 'Rotating Throat Wall Assembly']",7,"['Jar & Lid', 'Vent or Flame Arrestor', 'Inter Cell and Inter Tier Connectors and Hardware and Battery Cable Connectors', 'Posts', 'Electrolyte', 'Plates', 'Rack']"
8,CBL_Power_Buried_2,Cable - Buried Power - Jacketed - EPR-DF,"['Cable - insulation', 'Cable - neutral (concentric or taped only)', 'Splices', 'Terminations', 'Cable - outer jacket', 'Cable - conductor', 'Cable - insulation shield']",8,"['Posts and Straps', 'Vent or Flame Arrestor', 'Separators & Retainers', 'Jar', 'InterCell and InterTier Connectors and Hardware and Battery Cable Connectors', 'Lid', 'Posts', 'Jar and Lid', 'Electrolyte', 'Plates', 'Rack']"
9,CBL_PWR_PLT_PINK_EPR_DF_DuctNS_2,"Cable - Plant - 5kV - Pink EPR - Discharge Free - Jacketed-Non-Shielded - Duct/Conduit/Tray - wet/dry cable, outdoor termination, no splice","['Terminations - outdoor', 'Cable - conductor', 'Cable - outer jacket', 'Cable - insulation']",9,"['Battery - Case', 'Battery - Plates', 'Battery - Pressure Relief Valve', 'Battery - Cabinet or Rack', 'Connections to Battery Charger and Primary Distribution', 'Battery - Group Bar (Collector)', 'Battery - Inter Cell and Inter Tier Connectors & Hardware & Battery Cable Connectors', 'Battery - Posts']"
