workordertext,description,label
falure,Breakdown,BRD
unserviceable dpr 1,Breakdown,BRD
bogged,Plugged / choked,PLU
spaying slurry,Leaking,ELK
fell of,Minor in-service problems,SER
no pressure output,Plugged / choked,PLU
damageblockage,Structural deficiency,STD
squeeling,Noise,NOI
requires repacking,Minor in-service problems,SER
no starting issue,Failure to start on demand,FTS
shaking,Vibration,VIB
blow,Minor in-service problems,SER
need a descale,Minor in-service problems,SER
over heating,Overheating,OHE
vibrationcheck,Vibration,VIB
vibration issue,Vibration,VIB
not open,Minor in-service problems,SER
sticking,Fail to function,FTI
seized shut,Breakdown,BRD
blocked,Plugged / choked,PLU
not working,Breakdown,BRD
not energising,Low output,LOO
power issue,Electrical,ELE
needs repairing,Structural deficiency,STD
not performing,Breakdown,BRD
wont run and,Failure to start on demand,FTS
boil out,Overheating,OHE
not supplying,Plugged / choked,PLU
spilled,Leaking,ELK
stuck in,Fail to function,FTI
leak exponentially,Leaking,ELK
not keeping up,Low output,LOO
pumping issue,Low output,LOO
leak slurry,Leaking,ELK
us,Breakdown,BRD
requires attention,Minor in-service problems,SER
does not stop,Failure to stop on demand,STP
noisy sce,Noise,NOI
twisting,Fail to function,FTI
needs to be extended,Minor in-service problems,SER
lost its packing,Leaking,ELK
rusted through,Structural deficiency,STD
needs to be held down,Minor in-service problems,SER
flow issue,Plugged / choked,PLU
degraded,Structural deficiency,STD
wont pump floc,Breakdown,BRD
leakspray,Leaking,ELK
wont run in,Failure to start on demand,FTS
needs repacked,Minor in-service problems,SER
passing excessively,Leaking,ELK
blocking,Plugged / choked,PLU
not engaging,Failure to start on demand,FTS
shredded,Structural deficiency,STD
noise,Noise,NOI
blown out,Minor in-service problems,SER
needs replacing,Breakdown,BRD
not running,Breakdown,BRD
leak when shut,Leaking,ELK
fall off,Minor in-service problems,SER
not being pumped away,Plugged / choked,PLU
scaled up,Minor in-service problems,SER
fallen off,Minor in-service problems,SER
broke away,Breakdown,BRD
cannot run in,Failure to start on demand,FTS
not pumping enough,Plugged / choked,PLU
not stopping,Failure to stop on demand,STP
unable to shu,Failure to stop on demand,STP
failed internaly,Breakdown,BRD
not there,Minor in-service problems,SER
inefficiant,Plugged / choked,PLU
no reading,Abnormal instrument reading,AIR
will not start in,Failure to start on demand,FTS
been running hot,Overheating,OHE
fallen out,Minor in-service problems,SER
leak on,Leaking,ELK
to be removed,Breakdown,BRD
unsupported,Minor in-service problems,SER
giving false reading,Abnormal instrument reading,AIR
leak in two place,Leaking,ELK
not reaching flow,Plugged / choked,PLU
wont turn,Failure to start on demand,FTS
not able to open,Minor in-service problems,SER
need straighting,Minor in-service problems,SER
hot liquid,Overheating,OHE
fell apart,Minor in-service problems,SER
fail again,Breakdown,BRD
needs to be replaced,Breakdown,BRD
underperforming,Low output,LOO
corroded close out,Structural deficiency,STD
not kicking in,Failure to start on demand,FTS
needs to be descaled,Minor in-service problems,SER
over flowed,Leaking,ELK
non operational,Breakdown,BRD
running fault,Other,OTH
unable to run,Failure to start on demand,FTS
come adrift,Minor in-service problems,SER
stiff,Fail to function,FTI
not high enough,Low output,LOO
broken off,Breakdown,BRD
snapped,Structural deficiency,STD
shorted out,Electrical,ELE
running when sump empty,Other,OTH
faul,Electrical,ELE
has a hole on,Structural deficiency,STD
will not trip,Electrical,ELE
failing to start,Failure to start on demand,FTS
needs adjusting,Minor in-service problems,SER
sheared,Structural deficiency,STD
failed,Breakdown,BRD
no guarding,Minor in-service problems,SER
unresponsive,Failure to start on demand,FTS
no sightglass,Minor in-service problems,SER
not connected,Minor in-service problems,SER
unserviceable and line,Breakdown,BRD
keeps triping,Electrical,ELE
coming out,Minor in-service problems,SER
requires handle,Minor in-service problems,SER
low flow,Plugged / choked,PLU
split,Structural deficiency,STD
fail to start,Failure to start on demand,FTS
wont reset,Failure to start on demand,FTS
hard to close,Fail to close,FTC
hole in suction,Structural deficiency,STD
worn through,Structural deficiency,STD
passingleaking,Leaking,ELK
not opening,Minor in-service problems,SER
jammedseized,Plugged / choked,PLU
damage,Structural deficiency,STD
passing on,Leaking,ELK
weak,Other,OTH
viberating,Vibration,VIB
