,assetlongdescription_entity_llms,assetlongdescription_entity_llms_left_0,assetlongdescription_entity_llms_right_0,assetlongdescription_entity_llms_left_1,assetlongdescription_entity_llms_right_1,assetlongdescription_entity_llms_left_2,assetlongdescription_entity_llms_right_2
0,"['Accumulator - Pneumatic - Bladder Type', 'Fixed Asset', 'Tank', 'Bladder', 'Air Line Check Valve', 'Gas Precharge Valve']","['Accumulator - Pneumatic - Bladder Type', 'Bladder', 'Fixed Asset', 'Gas Precharge Valve']","['Tank', 'Air Line Check Valve']","['Air Line Check Valve', 'Gas Precharge Valve', 'Tank', 'Accumulator - Pneumatic - Bladder Type']","['Bladder', 'Fixed Asset']",['Accumulator - Pneumatic - Bladder Type'],"['Tank', 'Gas Precharge Valve', 'Air Line Check Valve', 'Bladder', 'Fixed Asset']"
1,"['Steam Jet Air Ejector', 'Fixed Asset', 'Ejector and internals', 'Suction port', 'Discharge port', 'Steam inlet port', 'Steam nozzle', 'Steam chest', 'Steam condensers', 'Valves', 'Ejector and internals from the suction to discharge ports', 'Steam inlet port and nozzle, including steam chest, if present', 'Steam condensers, if present']","['Ejector and internals', 'Valves', 'Discharge port', 'Suction port', 'Steam inlet port']","['Steam condensers, if present', 'Steam chest', 'Steam inlet port and nozzle, including steam chest, if present', 'Steam nozzle', 'Steam Jet Air Ejector', 'Ejector and internals from the suction to discharge ports', 'Steam condensers', 'Fixed Asset']","['Ejector and internals', 'Steam inlet port', 'Discharge port', 'Ejector and internals from the suction to discharge ports', 'Valves']","['Steam chest', 'Steam condensers', 'Steam inlet port and nozzle, including steam chest, if present', 'Steam nozzle', 'Steam Jet Air Ejector', 'Suction port', 'Steam condensers, if present', 'Fixed Asset']","['Steam inlet port and nozzle, including steam chest, if present', 'Ejector and internals', 'Steam nozzle', 'Steam condensers, if present', 'Fixed Asset']","['Steam Jet Air Ejector', 'Steam condensers', 'Valves', 'Ejector and internals from the suction to discharge ports', 'Steam inlet port', 'Suction port', 'Discharge port', 'Steam chest']"
2,[],,,,,,
3,"['Autoclave - Sliding Double Door', 'Autoclave', 'Chamber, Door, Closing Device, Seal or Gasket, Steam Jacket, Insulation', 'Control Panel and Enclosure', 'Control Module, Disconnect, Main Circuit Breaker, Relays, Terminations, Power Supply, Lights, Switches, Alarms, Wiring, etc.', 'E-Stops and Interlocks', 'Fasteners and Hardware', 'Filter', 'Compressed Air', 'Flex Hoses, Flex Lines, and Fittings', 'Ground or Earth Connection', 'Heat Exchanger', 'Sample Cooler, Heat Exchanger (Plate Type)', 'Instrumentation', 'Gauges or Indicators (Temperature, Pressure), Indicator, Transmitter, Sensor Element, & Switch (Level, Pressure, Temperature), Flow Restrictors', 'Pipe', 'Pipe and Fittings, Pipe Insulation, Instrument Penetrations, and Thermowells', 'PLC and HMI (Programmable Logic Controller and Human Machine Interface Touch Screen)', 'Pump', 'Vacuum (Liquid Ring) and Motor, Pump (Vertical Multistage) and Motor', 'Separator', 'Silencer(s)', 'Steam Trap (Balanced Pressure Thermostatic Type)', 'Strainer', 'Tank', 'Tri-Clamp Isolation Devices', 'Valve', 'Automatic Exhaust Relief (Diaphragm), Ball (Manual), Check (Swing Type), Diaphragm (Air Operated), Manual, Vent, Drain, and Isolation (Diaphragm type), Piston Operated, SOV Operated, Temperature & Flow Control Valves (Air Operated)', 'Supply', 'External drains and connections', 'Supply Electrical Panel and Breakers (External to skid)']","['Filter', 'Ground or Earth Connection', 'Flex Hoses, Flex Lines, and Fittings', 'Pipe', 'Supply Electrical Panel and Breakers (External to skid)', 'Control Module, Disconnect, Main Circuit Breaker, Relays, Terminations, Power Supply, Lights, Switches, Alarms, Wiring, etc.', 'Strainer', 'Instrumentation', 'Tank']","['Valve', 'Supply', 'Tri-Clamp Isolation Devices', 'E-Stops and Interlocks', 'Sample Cooler, Heat Exchanger (Plate Type)', 'Autoclave', 'External drains and connections', 'Gauges or Indicators (Temperature, Pressure), Indicator, Transmitter, Sensor Element, & Switch (Level, Pressure, Temperature), Flow Restrictors', 'Autoclave - Sliding Double Door', 'Vacuum (Liquid Ring) and Motor, Pump (Vertical Multistage) and Motor', 'Heat Exchanger', 'Separator', 'Steam Trap (Balanced Pressure Thermostatic Type)', 'Pipe and Fittings, Pipe Insulation, Instrument Penetrations, and Thermowells', 'Control Panel and Enclosure', 'Compressed Air', 'Chamber, Door, Closing Device, Seal or Gasket, Steam Jacket, Insulation', 'Automatic Exhaust Relief (Diaphragm), Ball (Manual), Check (Swing Type), Diaphragm (Air Operated), Manual, Vent, Drain, and Isolation (Diaphragm type), Piston Operated, SOV Operated, Temperature & Flow Control Valves (Air Operated)', 'PLC and HMI (Programmable Logic Controller and Human Machine Interface Touch Screen)', 'Pump', 'Silencer(s)', 'Fasteners and Hardware']","['PLC and HMI (Programmable Logic Controller and Human Machine Interface Touch Screen)', 'Filter', 'Supply', 'Autoclave - Sliding Double Door', 'Steam Trap (Balanced Pressure Thermostatic Type)', 'Flex Hoses, Flex Lines, and Fittings', 'Pipe and Fittings, Pipe Insulation, Instrument Penetrations, and Thermowells', 'Ground or Earth Connection', 'E-Stops and Interlocks', 'Compressed Air', 'Separator', 'Pipe', 'Silencer(s)', 'Gauges or Indicators (Temperature, Pressure), Indicator, Transmitter, Sensor Element, & Switch (Level, Pressure, Temperature), Flow Restrictors', 'Heat Exchanger', 'Pump', 'Autoclave', 'Chamber, Door, Closing Device, Seal or Gasket, Steam Jacket, Insulation']","['Tank', 'Control Module, Disconnect, Main Circuit Breaker, Relays, Terminations, Power Supply, Lights, Switches, Alarms, Wiring, etc.', 'Supply Electrical Panel and Breakers (External to skid)', 'External drains and connections', 'Automatic Exhaust Relief (Diaphragm), Ball (Manual), Check (Swing Type), Diaphragm (Air Operated), Manual, Vent, Drain, and Isolation (Diaphragm type), Piston Operated, SOV Operated, Temperature & Flow Control Valves (Air Operated)', 'Valve', 'Tri-Clamp Isolation Devices', 'Strainer', 'Vacuum (Liquid Ring) and Motor, Pump (Vertical Multistage) and Motor', 'Instrumentation', 'Control Panel and Enclosure', 'Sample Cooler, Heat Exchanger (Plate Type)', 'Fasteners and Hardware']","['Filter', 'Heat Exchanger', 'Strainer']","['Supply', 'Chamber, Door, Closing Device, Seal or Gasket, Steam Jacket, Insulation', 'Autoclave - Sliding Double Door', 'Flex Hoses, Flex Lines, and Fittings', 'Valve', 'Gauges or Indicators (Temperature, Pressure), Indicator, Transmitter, Sensor Element, & Switch (Level, Pressure, Temperature), Flow Restrictors', 'PLC and HMI (Programmable Logic Controller and Human Machine Interface Touch Screen)', 'Automatic Exhaust Relief (Diaphragm), Ball (Manual), Check (Swing Type), Diaphragm (Air Operated), Manual, Vent, Drain, and Isolation (Diaphragm type), Piston Operated, SOV Operated, Temperature & Flow Control Valves (Air Operated)', 'Silencer(s)', 'External drains and connections', 'Control Module, Disconnect, Main Circuit Breaker, Relays, Terminations, Power Supply, Lights, Switches, Alarms, Wiring, etc.', 'Control Panel and Enclosure', 'Sample Cooler, Heat Exchanger (Plate Type)', 'Pump', 'Tri-Clamp Isolation Devices', 'Instrumentation', 'Pipe', 'Pipe and Fittings, Pipe Insulation, Instrument Penetrations, and Thermowells', 'Compressed Air', 'Fasteners and Hardware', 'Autoclave', 'Tank', 'Separator', 'Vacuum (Liquid Ring) and Motor, Pump (Vertical Multistage) and Motor', 'Supply Electrical Panel and Breakers (External to skid)', 'E-Stops and Interlocks', 'Ground or Earth Connection', 'Steam Trap (Balanced Pressure Thermostatic Type)']"
4,"['Axle_1', 'Material Handling Asset', 'Axle', 'Shaft', 'Mounting Brackets', 'Coupling Key', 'Wheel flange', 'Fasteners', 'Bearings', 'Bushings', 'Brake Disc', 'Drum', 'Brake assembly', 'Drive train components']","['Brake Disc', 'Axle_1', 'Bearings', 'Coupling Key', 'Axle', 'Drum', 'Drive train components', 'Brake assembly']","['Wheel flange', 'Bushings', 'Material Handling Asset', 'Fasteners', 'Mounting Brackets', 'Shaft']","['Fasteners', 'Drive train components']","['Wheel flange', 'Coupling Key', 'Axle_1', 'Bearings', 'Brake assembly', 'Axle', 'Bushings', 'Material Handling Asset', 'Mounting Brackets', 'Shaft', 'Drum', 'Brake Disc']","['Axle_1', 'Coupling Key', 'Wheel flange', 'Brake Disc', 'Bearings', 'Drum']","['Fasteners', 'Brake assembly', 'Material Handling Asset', 'Axle', 'Shaft', 'Mounting Brackets', 'Bushings', 'Drive train components']"
5,"['Battery - Inverter', 'Electrical Asset', 'Inverter, Maintenance bypass switch, Static switch', 'Distribution panel, Regulated rectifiers, Breakers', 'Battery Charger, Motor Control Center']","['Inverter, Maintenance bypass switch, Static switch', 'Distribution panel, Regulated rectifiers, Breakers', 'Battery - Inverter', 'Electrical Asset']","['Battery Charger, Motor Control Center']","['Distribution panel, Regulated rectifiers, Breakers', 'Inverter, Maintenance bypass switch, Static switch']","['Battery - Inverter', 'Electrical Asset', 'Battery Charger, Motor Control Center']","['Inverter, Maintenance bypass switch, Static switch', 'Distribution panel, Regulated rectifiers, Breakers', 'Battery Charger, Motor Control Center']","['Electrical Asset', 'Battery - Inverter']"
6,"['Battery - Flooded Lead Acid - Lead Calcium/Antimony', 'Electrical Asset', 'Battery cells, Inter-tier and Inter-cell connectors, Battery Rack']","['Battery cells, Inter-tier and Inter-cell connectors, Battery Rack', 'Battery - Flooded Lead Acid - Lead Calcium/Antimony']",['Electrical Asset'],['Electrical Asset'],"['Battery cells, Inter-tier and Inter-cell connectors, Battery Rack', 'Battery - Flooded Lead Acid - Lead Calcium/Antimony']","['Electrical Asset', 'Battery - Flooded Lead Acid - Lead Calcium/Antimony']","['Battery cells, Inter-tier and Inter-cell connectors, Battery Rack']"
7,"['Battery - NICAD', 'Electrical Asset', 'Battery cells, Inter-cell and inter-tier connectors, Battery rack']","['Battery cells, Inter-cell and inter-tier connectors, Battery rack']","['Electrical Asset', 'Battery - NICAD']",['Battery - NICAD'],"['Battery cells, Inter-cell and inter-tier connectors, Battery rack', 'Electrical Asset']","['Electrical Asset', 'Battery cells, Inter-cell and inter-tier connectors, Battery rack']",['Battery - NICAD']
8,"['Battery - Flooded Lead Acid - Plante', 'Electrical Asset', 'Battery cells, Inter-tier and Inter-cell connectors, Battery Rack']","['Battery cells, Inter-tier and Inter-cell connectors, Battery Rack']","['Battery - Flooded Lead Acid - Plante', 'Electrical Asset']","['Battery - Flooded Lead Acid - Plante', 'Battery cells, Inter-tier and Inter-cell connectors, Battery Rack']",['Electrical Asset'],"['Battery - Flooded Lead Acid - Plante', 'Electrical Asset']","['Battery cells, Inter-tier and Inter-cell connectors, Battery Rack']"
9,"['Battery - VRLA - Non-Gel Type', 'Electrical Asset']",['Electrical Asset'],['Battery - VRLA - Non-Gel Type'],['Battery - VRLA - Non-Gel Type'],['Electrical Asset'],['Electrical Asset'],['Battery - VRLA - Non-Gel Type']
