,question,cluster
0,"certainly , many algorithms are built complex and efficient by combining many algorithms into one ( as one step may also be considered an algorithm , is n't it ?
",3
1,"but what i would like to ask - what are the algorithms considered to implement the biggest amount of advanced techniques in computational and/or natural sciences ?
",3
2,"is tere a way to solve a math problem with algorithms ?
",3
3,"could dna be an algorithm ?
",3
4,"at 0:53 , how are algorithms used in rendering ?
",3
5,"one question : how do i know if i 've inputted an incorrect algorithm ?
",3
6,"would rna or dna be considered an algorithm ?
",3
7,"what is the difference between the algorithm and procession in the computer ?
",3
8,"are the steps in algorithm sequential along a vector , a scalar or both ?
",3
9,"will it be helpful by learning algorithm to change the way of thinking ?
",9
10,"it was good to learn about the algorithms because is a process or set rules to be followed in calculations , it helps you a lot , how you prove is the algorithm is right or wrong ?
",9
11,"how many algorithms can you have ?
",3
12,"is an algorithm like a routine ?
",3
13,"is there a specific area of mathematics ( preferably on khan academy ) that i can go through to help me learn the proper math to fully understand how to reduce an algorithm down to asymptotic notation ?
",3
14,"chances of eve winning the game now are 1/5 to 1/7 instead of 1/52 right ?
",2
15,"i 'm extremely new to this , but if she had knowledge of the deck of cards beforehand , or it was a standard deck of cards , and he placed one card inside the box , would n't she be able to take note of which card was missing by accounting for the standard set of playing cards or the kinds of cards she had in the deck ?
",9
16,"are n't the cipher-text space and the message space identical ?
",9
17,"even though the letters would be difficult to figure out , would the spaces between words help give the message away ?
",9
18,"what kind of pencil/writing instrument is being used on the papyrus at 3:17 ?
",6
19,"why do most of the letters in one of the ancient languages look like broken bones ?
",9
20,"at 3:30 why are some symbols black and other are red ?
",1
21,"who were the people who 's mouths and faces appeared ?
",1
22,"does the company just authenticate/ license whoever that pays ?
",7
23,"is norton a safe antivirus like macafee ?
",6
24,"why would someone intentually mess up their computer ?
",5
25,"is there any security risk if unlisted video is shared ?
",5
26,"what are exactly `` strong passwords '' ?
",9
27,"how an hackers take you to the wrong website ?
",5
28,"what are the frequencies of english text exactly ?
",3
29,"i got another question : if i started making a web page in html , can i continue working on it in css ?
",5
30,"what is the difference between a server and a client ?
",5
31,"will we be able to make websites or only webpages ?
",5
32,"on khan academy we can program a javascript program , or a html webpage but how would you combine those with css to make an actual standalone web page ?
",5
33,"what 's the difference between a server and a client ?
",5
34,"how can i use javascript in html ?
",5
35,"how come making a website is so complicated ?
",9
36,"is it so the scientists who do know seem smarter than everyone else ?
",9
37,"how is it that people are able to publish multiple website ?
",5
38,"i 'll clear it up just so it 's easier to answer : say you have a website named khanacademy.org , then you have a link that takes you to http : //khanacademy.org/computing , how is it that this is possible , and how does it work ?
",9
39,"do i have to buy some sort of program to make webpages ?
",9
40,"how do you make a website from scratch ?
",5
41,"what if i want to upload a photo of my won ?
",5
42,"how do the computers know what the commands like < h1 > < /h1 > mean ?
",9
43,"where can i do code on places other than khan academy ?
",1
44,"can i only make my webpages in only these languages or are there any other language also used in making websites ?
",5
45,"what does html stand for ?
",5
46,"here on khanacademy why dose php not work , is it blocked or is it just not supported ( and if it is supported how can i use it ) ?
",5
47,"are there other markup languages aside from html ?
",5
48,"how to make comments in html ?
",5
49,"do you have a video on how to make a website domain ?
",5
50,"if i were to complete all the css and html lessons on khan academy will i be able to meet the requirements for a job in that field ?
",1
51,"at 2:20 why are the devices called clients ?
",5
52,"is makeing a website complicated ?
",5
53,"for what js stands for ?
",6
54,"difference between http and html ?
",5
55,"is copying the format of someone 's website to develop yours plagiarism ?
",5
56,"what client would best be recommended for khanacademy ?
",9
57,"is n't bad to make a website because people can find information about you ?
",9
58,"is there something on khan academy where you can use javascript , html and css all in one program ?
",5
59,"where can i learn who invented html or any other program ?
",5
60,"what the best language programing the currently ?
",5
61,"how do you load a site on the web ?
",5
62,"i found the basic substitution quite simple but what about pig pen cipher 's that contain code words that disrupt the order of letters in the grid ?
",3
63,"what if you had one word in a code ?
",5
64,"if you wanted to send a classified , very important battle plan to your general , would you want to take out a newspaper ad to do it or would you prefer to do it discreetly ?
",1
65,"would it be possible to break the code ?
",9
66,"would n't eve intercept the shift before it got to bob ?
",9
67,"what would happen if you composed half the message in a different language ?
",9
68,"did caesar use other ciphers ?
",6
69,"i there any kind of frequency analysis software ?
",3
70,"but would testing out different shift numbers with some sort of program be more efficient ?
",9
71,"what are the names of other different types of databases ?
",5
72,"what are 2 uses for sql ?
",5
73,"also , why do n't scripts accept some words like `` int '' instead of `` integer '' which are accepted in sql language ?
",3
74,"where can you use the sql and databases ?
",5
75,"is it possible to learn , like , sql and html at the same time ?
",5
76,"what does sql stand for ?
",5
77,"when something is being streamed , does that mean that not all the information is checked by tcp at one time but rather whenever the packets arrive ?
",5
78,"does n't streaming typically utilize udp , rather than tcp , since the connection does n't necessarily have to be constantly acknowledged ?
",5
79,"does twitter provide us with safety of our information not being sold ?
",5
80,"does khan academy provide us with privacy ?
",1
81,"where is the tcp located ?
",6
82,"does it really true that higher in speed cost more money ?
",0
83,"how does a router know which routers to send to next ?
",5
84,"can someone explain to me how internet providers work ?
",5
85,"why do we have to connect to the internet through them and their routers ?
",5
86,"so if someone gets into a server can they access every device that is connected to it ?
",5
87,"i do n't understand how the zeros and ones are stored side by side in order in a data transmission ?
",9
88,"is missing packets what makes a video buffer ?
",5
89,"what happens if it loses all packet lose during transit and does n't know how to pick it back up ?
",9
90,"what exactly are those routers that manage the traffic and who keeps them ?
",5
91,"can a server send a website to the wrong computer ?
",5
92,"at 5:01 ( ssl ) , does the website have to own any specific security features to ask for a ssl certificate ?
",5
93,"are these certificates constantly being updated to prevent backdoors ?
",5
94,"is it bad to always stay logged in on the internet ?
",9
95,"how much information does a single packet contain ?
",5
96,"can someone briefly describe the protocol used in p2p torrent systems ?
",5
97,"what is the difference between web browser and search engine ?
",5
98,"when you visit an website multiple times or jump from page to page , how does the website know that 's it 's you again ?
",1
99,"it looks like the symbols are only as , bs , cs , and ds ... so two bits for each ( 00 , 01 , 11 , 10 ) ?
",2
100,"at 1:25 , i noticed that in the code box the color was written like this : color : rgba ( 22 , 30 , 40 , 0.01 ) what does the a stand for ?
",2
101,"also the difference of symbols is technically infinite , because you can just add more plucks ?
",3
102,"would n't it be hard to receive 1 000 000 different voltage levels ?
",2
103,"is 3 the only number that works as a generator for 17 , or are there other numbers that would ?
",2
104,"1:40 so , better to not decrypt than to take thousands of years to do so ?
",1
105,"how do you go about reversing a one way function ?
",3
106,"what does `` mod '' mean ?
",2
107,"can someone explain why the distribution of 3^n mod p is flat if p is a prime number ?
",2
108,"why is 3 the ''generator '' ?
",2
109,"what is the difference between javascript and processingjs ?
",5
110,"does photoshop count as programming ?
",5
111,"what is with the dolphin at 0:04 ?
",6
112,"what seperates the letters in a word on morse ?
",3
113,"what is the yellow , z- shaped symbol at 5:23 called ?
",6
114,"what is `` i '' when indicated in the equation ?
",3
115,"so , in order to have ( # bounces_b ) = 3 , we need ( # outcomes_b ) = 8. but it seems there are only two `` outcomes at that level : '' b and c. what am i missing ?
",2
116,"at 6:00 , does it not make sense to actually use ceil function in rhs of the definition of # questions ?
",3
117,"in the curve for entropy , it shows that , the entropy drops below 1 bit ( when p < 0.5 or p > 0.5 ) but how is that even possible practically ?
",2
118,"i understood nearly everything but the only thing i did n't get was that why # outcomes equals to 1/p ?
",9
119,"at 0:50 if you do the decrypt math , it seems any of the letters that are being modified by +13 are off by one , so they should be meet=frfe , at=nu , elephant=pqxcilsm , lake=ybvj am i missing something ?
",6
120,"ok , so can calculate a poly alphabetic cipher by finding the frequency in intervals , but what if the shift word is as long as the message and does n't have repeating letters ?
",3
121,"are polyalphabetic ciphers the same as vigenere ciphers ?
",6
122,"so the fingerprints are meant to be the word patterns ?
",3
123,"have there been any codes that have n't been broken once ?
",9
124,"hi i 'm new to this and i was wondering : how would a codebreaker like me be able to crack a 20 letter message that has a five letter shift word ?
",9
125,"so , for example , if you were starting the sentence with the word `` dog '' , using the `` snake '' codeword , would you subtract the position of the `` s '' from the `` d '' and use that letter ?
",3
126,"at 02:25 : why the longer the word used the stronger the ciper ?
",9
127,"how would you know that r , q , s , and j would turn out to be a shift of five if there is no repetition ?
",2
128,"sorry if this has been asked before , but who is brit cruise ?
",9
129,"could someone please explain again how you would break the code ?
",9
130,"i really do not understand how eve breaks the encryption starting from 1:29. could someone please explain them in other words along with examples please ?
",9
131,"if the tree is infinitely high , how can the leaves fall ?
",9
132,"at the beginning of the video , what is the spiral called ?
",1
133,"if a , b , x and y are integers greater than 1 such that a and b have no common factors except 1 and x^a = y^b , how can we show that x = n^b and y = n^a for some integer n ?
",2
134,"since the percent of primes gets smaller when the searh number gets bigger is the re a numder witch there is no prime after it ?
",9
135,"how do i show the theorem in prime numbers ?
",3
136,"has anyone found a way to correct multiple errors , like , by sending two lines of code ?
",9
137,"how do let the other person know the code if someone is reading all the messages back and forth ?
",9
138,"has anybody ever heard of the vigenere cipher ?
",9
139,"so where has the missing pound gone ?
",9
140,"is the `` computing '' subject not available on xbox one ?
",5
141,"if a code was sent over the internet , could n't anybody just use a software to unscramble the code ?
",5
142,"is there any difference between a code and a cipher ?
",3
143,"is a slang a form of cryptography ?
",3
144,"can you just tel me the recent research fields in cryptography ?
",1
145,"can you make your own cryptology code ?
",5
146,"are innate algorithms done subconsciously by the human brain less complex than ones that can be handled by a machine that operates solely on a basis of 0 's and 1 's ?
",3
147,"how do you measure efficiency ?
",0
148,"so , why should i care about algorithms at all ?
",3
149,"how is the message space the same size as the key space and the same space as the ciphertext space ?
",3
150,"would n't the encryption be stronger if the text was written without spaces and somehow randomize the amount of characters per line ?
",3
151,"was brit writing in a real language when he was writing on the papyrus ?
",1
152,"is it even possible to communicate with the cup and wire looking thingy ?
",9
153,"how do japan people write there language ?
",1
154,"can you make paper with bamboo strips ?
",9
155,"how can we learn to be an ethical hacker ?
",5
156,"so then ... if you gave a monkey a typewriter than the monkey would eventually type out shakesphere 's plays ?
",9
157,"what 's the difference between < p style= '' color : green '' > hello < /p > and < p > < color= '' green '' > hello < /color > < /p > ?
",2
158,"are all the computing systems connected ?
",5
159,"what do html and css stand for ?
",5
160,"this is a newb question , but before i dedicate a large amount of time to this , i was curious , is the html and css taught here somehow different from html5 and css3 , or are the terms being used interchangeably ?
",5
161,"so , basically what program should i use for making a website like html , css , jp ?
",5
162,"is there a spell check on the website builder if so where is it ?
",5
163,"how can we run a html program in a browser ?
",5
164,"could you explain min-max algorithm and how to implement in a tic-tac-toe game ?
",3
165,"dose algorithms mean following instructions like how to do something step-by-step .but written in programming language ?
",3
166,"is there a way to solve a math problem with algorithms ?
",3
167,"does anyone know how , at 0:45 , the video compression algorithms work ?
",5
168,"which sort of algorithm is used for computing signals to flight and railways ?
",3
169,"would that mean there is 1 chance in 26 to the power of 20 that a randomly chosen key would produce the original message ?
",2
170,"what is shannon 's paper called ?
",1
171,"if bob put a card in the box and locked it with a cipher , would eve know what card bob put in the box ?
",9
172,"at 3:30 , it is said that the size of the message space = size of key space = size of cipher text space but if each page in message space can be combined with any of the keys present in the key space , the cipher text space would be a lot bigger , wo n't it ?
",9
173,"do you think that over time this change in digital communication could leak into our everyday speech in the same way that phonetics did ?
",9
174,"mathematics can be used as a universal communication correct ?
",3
175,"why do language 's characters all have similar configurations ?
",3
176,"if you throw away a hacked computer would it affect you ?
",9
177,"is n't redirecting to a fake website a pharming scam and not phishing ?
",5
178,"how to avoid this viruses ?
",8
179,"just curious , but if you are on a website , and if it asks for your email and you give your email to the website , can hackers from that website really hack into your email or is it completely fine to give your email address ?
",5
180,"what happens if the server is overloaded with huge data ?
",5
181,"my second set of questions ( see part 1 below ) : part 2 - questions about 3-gram algorithm and transitioning from one cup to another first , is the 3rd word in a 3-gram algorithm dependent on the 1st word or a combination of the 1st and 2nd word ?
",2
182,"how do these markov chains relate to moore and mealy machines ?
",6
183,"why are the different sources of electronics called clients instead of something else ?
",9
184,"how would you get text at the center of the page ?
",5
185,"could a person actually create a webpage from a mobile device such as a cell phone when a lot only have mobile versions ?
",5
186,"why ca n't we use sound for javascript and html / css ?
",5
