,text
0,"A MECHANICAL technician performed a work on the industrial asset:DECK CRANE 2, AHC KBC PORT FWD on the location DECK CRANE 2, AHC KBC PORT FWD. The work order description is: Work with NDT inspectors to carry out MPI Inspection on repaired area inside Crane Pedestal. 

2 X inboard corner doubler plates on stiffener at transition area from square to Pedestal cylinder.

Areas were left without paint for to allow for further inspection. If no indications noticed then paint can be applied.

If indication recorded notify TSL for further investigation.

NDT report to be uploaded to edocs and attached.. The equipment failed and is described as: Damaged and showing lines on the surface from having split without coming apart"
1,"A MECHANICAL technician performed a work on the industrial asset:IBOP, UPPER, TOP DRIVE, AUX WELL on the location IBOP, UPPER, TOP DRIVE, AUX WELL. The work order description is: Fit new crank to Upper IBOP. The equipment failed and is described as: Damaged and showing lines on the surface from having split without coming apart"
2,A MARINE technician performed a work on the industrial asset:CRANE LIFTING APPLIANCES on the location CRANE LIFTING APPLIANCES. The work order description is: Oder Boom tip sheave to replace damage one on KBC 3 + 1spare. The equipment failed and is described as: Damaged and showing lines on the surface from having split without coming apart
3,A ELECTRICAL technician performed a work on the industrial asset:NOV CYBERBASE DRILLING CONTROL on the location DRILLING CONTROL. The work order description is: Replace defective joystick.. The equipment failed and is described as: Damaged and showing lines on the surface from having split without coming apart
4,A WELL CONTROL technician performed a work on the industrial asset:NOV SHAFFER BOP FRAME on the location LOWER BOP STACK 2. The work order description is: REMOVE OLD SLOP INDICATORS AND FIT NEW ONES.. The equipment failed and is described as: Damaged and showing lines on the surface from having split without coming apart
5,"A MECHANICAL technician performed a work on the industrial asset:NOV TDX 1250 TOP DRIVE - AUX WELL on the location TOP DRIVE, AUX WELL. The work order description is: REPLACE JOINT CLAMP WITH BROKEN LOCK PIN.. The equipment failed and is described as: Damaged and showing lines on the surface from having split without coming apart"
6,"A MECHANICAL technician performed a work on the industrial asset:NOV BOP GANTRY CRANE on the location CRANE, BOP GANTRY, BOP HANDLING SYSTEM. The work order description is: REPLACE HYDRAULIC HOSES.
PRESSURE: POS. 102, 103
RETURN: POS. 201, 202, 203, 204
DRAIN: POS. 301. The equipment failed and is described as: Not having the normal or natural shape or form"
7,"A MECHANICAL technician performed a work on the industrial asset:NOV FINGERBOARD on the location FINGER BOARD, UPPER. The work order description is: Replace damage fingerboard latch on row 12 slot 4 - Damage during MMC operation. The equipment failed and is described as: Not having the normal or natural shape or form"
8,A MECHANICAL technician performed a work on the industrial asset:NOV CYBERBASE DRILLING CONTROL on the location DRILLING CONTROL. The work order description is: Install new wiper blades on Aux driller front window.. The equipment failed and is described as: Not having the normal or natural shape or form
9,"A MECHANICAL technician performed a work on the industrial asset:NOV HYDRATONG ARN-270- AUX WELL on the location IRON ROUGHNECK 2, AUX WELL, HYDRATONG. The work order description is: Upper forward die carrier conical nut has some teeth broken, required to be replaced.. The equipment failed and is described as: Not having the normal or natural shape or form"
10,"A WELL CONTROL technician performed a work on the industrial asset:VALVE, SPM, SHEAR ISOLATOR SPM, BOP 2 ACOUSTIC POD on the location VALVES, SPM, ACOUSTIC POD, BOP 2 CONTROL. The work order description is: REBUILD 1"" SPM DA ACOUSTIC - SHR/ISO - BOP 2. The equipment failed and is described as: Not having the normal or natural shape or form"
11,"A DRILLING technician performed a work on the industrial asset:MUD HIGH PRESSURE PIPING on the location MUD HP PIPING & SP MANIFOLD, MUD SYSTEM PIPING. The work order description is: Ring retainer required for R/F chiksans. The equipment failed and is described as: Not having the normal or natural shape or form"
12,"A MECHANICAL technician performed a work on the industrial asset:NOV HYDRARACKER IV VERTICAL PIPE HANDLER on the location VERTICAL PIPE HANDLER, MAIN WELL, HYDRARACKER. The work order description is: Replace upper guide head pipe indicator and pipe pusher rollers. The equipment failed and is described as: Not having the normal or natural shape or form"
13,A DRILLING technician performed a work on the industrial asset:MHWIRTH TPK 2200 MUD PUMP on the location MUD PUMP 3. The work order description is: Place liner's in mud pump #3. The equipment failed and is described as: Not having the normal or natural shape or form
